gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,retina,salivary gland,skin,small intestine,spleen,testis,thymus gland,thyroid gland,trachea,uterus
GAP43,1.2601,1.4374,34.4853,0.9777,1.6958,0.6145,0.9217,1.1187,2.8863,1.3916,0.7229,1.1875,2.3539,1.4222,0.9368,6.8549,0.989,0.9474,1.6669,1.6208,3.2698,0.9801,0.967,1.0062,0.6369
GPHN,7.0076,4.7537,16.32665,13.3848,17.6707,12.5585,25.8384,39.2549,10.9825,21.263,10.5259,6.7877,28.2621,3.0049,8.6516,6.9259,12.8997,10.2257,15.5893,6.3484,6.4986,3.8878,10.1062,3.2347,6.264
KIF21A,5.7184,4.7693,47.64475,4.4575,6.6882,23.361,23.1976,19.1387,3.8298,5.7687,4.0277,3.5541,5.3712,11.9459,9.1673,13.6549,9.2781,4.8813,4.9706,5.005,6.0804,1.067,5.5448,9.2903,2.9962
CD1A,1.9481,4.8053,2.33335,0.7523,1.0395,0.8979,0.5701,0.5428,0.6189,0.6062,0.9886,5.8191,0.8354,0.7034,0.798,0.6036,1.1703,21.6167,0.9961,2.392,0.8023,850.9,0.7138,1.7703,2.7546
CTNNA1,121.715,65.091,110.0424,109.3583,119.1942,201.2429,131.5252,105.4976,163.0787,60.0215,97.114,116.8032,70.2248,112.829,116.3917,106.742,88.5884,148.9997,115.5182,75.4378,54.2489,35.5367,119.1068,156.8185,111.096
SLA,48.0594,426.104,39.35485,12.6505,19.3977,6.0659,20.3614,55.4532,304.6675,3.303,9.6648,190.4196,14.3129,38.0802,23.1037,40.5342,14.0951,31.4049,48.7886,363.058,3.178,769.6073,18.3041,47.4009,26.5509
CASP14,0.6929,0.8858,1.04095,0.7928,0.8402,0.7988,0.9743,0.9264,0.8267,1.4624,0.9779,0.8061,1.9263,0.7676,0.6818,0.7147,2.278,14.9702,0.7399,0.9353,0.7151,0.6245,1.1929,1.021,2.8845
TSGA10IP,7.6954,4.6844,8.49835,3.5536,3.3314,11.4809,4.154,6.5358,4.613,9.7213,4.6717,4.0487,6.1094,4.6514,2.8418,2.7869,12.6952,5.0831,6.1905,3.6518,17.0975,3.8103,4.5104,8.8129,4.1843
SLMAP,3.8683,13.2928,4.21265,30.9684,39.6665,137.0653,9.4778,12.3656,7.6312,48.0666,9.4557,4.1467,5.9795,5.163,16.4233,8.4417,1.1743,8.1442,12.3367,2.4335,14.629,15.9569,6.9858,4.3894,11.0865
ZNF32,83.3348,60.8297,104.18625,84.6924,92.1042,148.7397,92.5615,66.4408,83.835,235.9819,148.7755,69.005,137.01,32.6418,139.1289,105.7471,108.0049,63.3341,77.4791,81.5815,38.7141,71.8076,134.7459,81.9008,121.2049
RNF40,27.907,25.7787,17.9593,12.7558,20.0148,11.2804,18.5975,17.2998,17.383,15.4706,24.738,21.7989,15.1443,29.0242,21.3221,22.2826,27.6486,20.8942,19.436,22.8337,49.6751,28.3117,21.4943,24.1727,26.8482
F9,0.9475,0.7205,0.57735,0.913,0.714,0.7943,0.7561,1184.3572,0.8376,0.7059,0.7014,0.9952,2.4825,0.8426,0.8104,0.5186,0.8134,0.8824,0.8644,0.6844,0.7087,2.8994,0.9258,0.9141,0.6881
POLR3A,21.1411,8.7913,21.74365,12.3374,13.2172,23.5973,10.9761,9.0721,15.9811,32.9685,24.6917,16.691,61.1955,12.9243,20.2193,13.9425,17.8787,20.1783,15.4282,13.6559,11.5014,16.5729,14.5299,16.9437,23.9196
IPCEF1,0.6586,34.6607,16.85365,2.6122,1.9211,1.2053,3.5179,1.5265,3.5829,1.9763,3.1436,7.7754,1.9027,2.2712,1.6799,1.3306,1.0064,1.0425,1.9903,13.3834,1.1503,6.1288,47.5086,1.6327,1.481
GALNT6,3.1951,14.0291,7.2522,33.4006,6.9715,1.5791,2.7012,1.8288,7.2658,1.475,1.7587,21.7349,9.6003,23.8273,1.6998,3.5926,63.4585,7,13.794,14.3221,1.1959,13.0476,5.4355,60.8032,2.9625
CRTAC1,0.8976,0.7069,15.33725,0.9037,1.1242,6.3899,1.7996,1.1521,22.9491,2.7036,0.7837,2.4706,1.0783,1.1085,2.3592,37.5977,3.5621,3.0769,1.0261,1.1457,3.8547,1.3953,4.8979,1.5362,1.0192
HFE,27.161,9.5729,7.1129,12.1437,15.9226,10.4422,11.3945,30.1757,15.0976,4.5248,13.0732,10.4059,15.041,17.1983,19.0036,24.9778,17.4226,9.8394,18.4737,26.0911,3.5715,7.6363,22.3627,18.0844,15.1584
ZNF319,1.2714,1.5813,1.1367,1.1398,1.0979,1.6182,0.9021,1.3626,5.3413,1.2433,1.5132,1.1696,1.8645,2.1246,0.8965,1.0774,1.9971,1.2005,1.1487,1.2945,0.7819,1.886,0.9903,1.3612,1.1921
RBM33,4.8593,15.087,1.80635,2.8881,3.9838,3.2467,2.9529,6.206,3.8736,2.8004,6.9204,5.0421,2.9274,4.2816,4.8686,4.1474,2.6326,3.0029,6.3645,5.7349,4.2495,11.9926,4.5575,3.8831,3.1129
TIMELESS,8.8373,13.1361,4.9813,7.9053,19.5489,3.058,10.2016,24.3218,10.3038,1.7669,9.7356,23.7788,5.1463,17.0289,6.1943,14.7366,6.3658,5.2123,20.3497,17.1496,19.2916,55.8585,10.0762,8.6273,9.9909
ATG9B,1.136,2.7967,2.56005,2.5195,4.0748,3.2375,4.6131,2.1174,1.5457,4.1069,2.2643,3.0786,1.4188,8.0119,2.373,2.55,2.5422,4.7855,2.4698,1.3875,2.2977,2.7711,1.1589,2.4249,1.6824
HTRA3,72.7775,1.9128,11.68835,190.6828,123.0768,534.8744,13.0738,8.1228,133.5066,156.1601,772.2398,33.104,26.495,163.6428,111.142,119.3589,74.4925,392.9773,132.27,17.7935,36.9397,96.2681,151.2968,206.0903,500.2099
SULT1C2,0.9154,1.6758,6.35955,6.918,34.1613,15.5843,1026.5625,14.9658,22.2886,2.6057,12.86,3.5904,25.3359,12.6651,2.8023,69.0124,10.6923,1.6466,240.5021,3.7752,1.4346,4.8846,291.4738,2.8432,2.8688
SPOPL,4.619,41.5161,10.11425,14.3764,14.3386,9.9639,9.8688,8.3124,12.9401,13.8196,14.0591,8.7173,5.7231,6.9694,15.8724,9.2776,8.6228,12.1527,9.0091,12.8936,5.8769,8.7197,8.5194,7.6559,10.7687
NR0B1,6.5602,0.9651,0.7163,0.8678,0.5714,0.4451,0.8912,0.9747,1.0757,0.8899,1.1849,3.5388,0.9346,1.3537,0.7015,0.6711,0.3606,1.0866,0.5304,0.9894,7.6975,1.1405,0.604,1.9271,0.9643
CTSO,22.8831,34.9167,25.13275,51.1117,18.1585,27.8808,57.1874,57.2167,51.6953,11.1904,26.1012,15.6076,24.3593,33.022,38.7209,45.125,15.9803,25.2585,18.9147,62.2619,8.6048,12.9516,40.4587,17.9078,22.1412
SLC38A9,6.3782,13.7162,8.10425,9.9329,9.377,9.2989,14.2912,19.7855,10.6875,8.8252,11.5995,10.8402,22.9269,36.3344,11.5044,11.9862,7.3593,10.9726,8.2849,13.6959,149.101,14.6604,11.1736,6.1037,9.4255
PPP1R21,11.0574,32.7052,13.49635,13.1679,14.614,6.5457,28.4572,9.4984,10.8049,2.4408,18.9117,20.3109,5.3405,12.1068,16.6889,12.9705,3.4677,16.3359,16.1982,23.5879,10.2072,19.5398,29.3595,12.5765,18.5939
VPS53,3.9503,6.5369,4.063,1.9821,2.871,5.4511,2.4599,2.7285,4.1318,4.7157,2.8411,4.4959,2.7391,5.8527,3.2452,4.4143,2.0556,3.7884,3.9695,4.8662,19.6649,5.5212,2.6116,4.1,4.0733
PTK2B,16.2328,33.6041,25.59055,12.2684,23.4804,24.8268,23.7031,16.5823,16.6068,25.04,14.215,25.6523,100.4757,14.728,16.9072,17.0616,45.4521,27.0217,25.0017,21.0548,12.1093,28.2302,11.4236,20.5033,19.5665
GSN,119.2543,25.2027,169.13345,330.9059,145.4046,357.2319,59.7157,36.0565,181.3385,127.2408,155.366,112.6407,41.4882,113.6199,127.1694,560.3178,141.0603,395.0524,156.2925,54.5453,55.0235,111.3637,214.9382,316.453,511.356
NCAN,0.8377,0.974,71.09975,1.8732,1.04,0.9906,1.8697,1.1539,0.665,0.7034,0.707,1.1298,1.2413,1.1823,0.43,1.1413,2.1256,0.6301,0.7595,0.6686,2.129,0.6856,1.1311,0.8309,0.6964
TCEAL8,72.6673,38.1425,99.72265,137.1233,93.8908,107.8299,107.5833,47.1319,73.8947,35.7638,86.509,54.2685,85.8023,87.6748,103.9339,99.7309,96.4515,46.8318,65.0903,82.7359,68.6728,90.4991,98.3105,59.3888,75.2332
RTTN,1.5921,5.9514,2.53575,4.0525,2.714,2.8703,3.075,2.1467,3.104,3.8731,5.0978,5.3377,5.9827,1.8933,3.4945,3.2322,4.6884,3.3543,2.2289,4.8675,3.0972,5.3217,3.4128,3.9183,1.8132
SORCS2,5.5769,6.1703,25.95015,6.4958,9.6992,10.1509,8.5625,7.8636,8.1816,6.477,19.7742,6.4347,3.5499,5.7391,11.2827,20.126,7.2923,6.6335,8.0709,2.669,6.4858,8.8811,13.778,11.8092,16.2072
CLK4,32.2846,95.1034,67.9574,88.8301,33.1365,90.6636,108.8986,59.2112,67.4569,55.0207,141.1776,62.1382,67.5502,32.6664,94.5471,39.4283,25.9774,42.3367,21.4038,95.8902,79.3123,67.3946,107.6586,27.6538,36.7662
LILRA2,16.3659,517.9878,22.86135,2.2441,2.3554,1.0378,3.3047,32.2554,41.5611,2.3156,5.4491,4.9871,1.6388,20.2195,2.0611,11.0581,4.2415,10.8769,4.0262,130.1787,3.1158,7.5223,3.1192,5.0749,6.3932
OR52J3,0.591,0.78,0.6865,0.736,0.766,0.686,0.6839,0.7194,1.1834,1.8204,0.5847,0.6442,2.3685,0.7149,1.0275,0.7683,2.0046,0.8628,0.7028,0.556,0.5406,5.1336,0.7633,0.912,0.6835
TMIE,5.7669,2.5006,9.2848,1.4547,2.5699,1.7461,3.1239,2.4775,2.1151,4.1207,3.1156,2.6717,14.649,1.1778,0.681,3.7858,3.0846,3.2095,2.3054,1.7174,2.4594,2.0453,1.909,1.0432,3.7626
RBP2,2.12,0.9897,1.99505,0.7515,5.896,0.8252,1.8003,5.606,1.6499,0.717,0.8761,1.0896,1.4032,0.6903,1.2084,1.8159,1.5924,1.12,3832.1848,0.6851,4.1469,0.8552,1.1513,0.7869,0.6504
ADGRD1,4.9946,7.5376,10.4698,5.0158,6.7211,19.5932,5.8464,18.2466,6.6161,11.356,5.1242,5.0566,6.2517,7.9499,6.3689,4.7526,6.9761,7.182,5.8095,4.597,3.1394,4.1741,4.2012,4.704,5.4882
SERF1B,36.9392,21.0576,66.75145,41.2615,38.884,30.645,38.1483,10.0085,35.291,61.6773,28.755,35.105,33.2608,13.6092,34.1549,112.5681,27.132,30.7003,40.1177,48.7663,21.7687,54.0939,41.6384,30.4115,54.7449
ADPRH,2.0615,2.0385,1.04505,1.6736,1.1994,4.513,1.0366,3.6813,5.2957,3.366,1.2692,2.4229,2.1601,10.1592,1.8916,2.464,3.0525,1.0874,1.1268,5.3319,1.1452,2.8639,1.8288,2.2424,2.6648
MPP6,1.6565,3.9673,5.7936,3.6578,1.0632,2.152,8.5471,13.5137,2.7646,4.6377,5.7286,2.9581,5.5204,0.907,3.0891,2.0706,2.8843,2.0429,2.8014,2.2467,47.7242,2.0945,4.0542,1.9072,1.331
PTCD1,4.0831,2.8325,2.518,2.2241,4.1634,2.364,1.4019,4.9779,2.1513,7.4033,2.4682,3.6802,4.2267,3.4579,2.8527,3.1904,2.5473,2.4674,1.8816,2.9261,2.913,2.3568,2.2709,2.363,3.9304
NR3C2,6.4375,10.0156,31.6761,13.282,58.0465,22.511,36.5327,16.9865,15.9012,27.5431,34.1796,7.0132,11.1954,4.8903,9.4595,14.4749,19.6674,10.4086,19.3162,15.3947,4.9261,3.4213,55.3838,9.1855,9.5449
IDI2,6.5818,1.7685,2.8869,3.4171,2.205,3.1838,1.0434,4.7288,1.1012,345.2176,4.0127,2.0744,2.2658,1.3374,1.9197,2.2371,0.9425,1.2484,1.7417,1.3103,1.3383,1.7657,2.2269,1.5459,1.9266
CA11,33.6707,12.8982,318.1376,17.5506,10.1701,18.0766,19.1427,3.3448,9.2523,14.2453,48.911,13.6036,7.2918,6.7058,26.1237,70.7071,17.5174,12.3349,13.8124,10.8436,10.3561,13.86,20.7478,18.0079,59.8032
NCAM1,43.8109,7.9694,100.42635,0.9372,3.5783,12.5353,1.9507,3.3959,2.3981,1.937,38.4599,1.9118,1.7248,1.7488,6.3416,14.4908,1.5214,1.4054,10.3844,3.9828,5.1289,1.5797,17.8074,1.6654,66.7607
PAK3,2.4172,0.7827,40.22345,8.3273,0.6844,0.7467,0.9111,0.9674,1.4937,0.3577,2.9848,0.7758,58.1188,4.1364,4.8238,2.9591,0.4052,6.3019,1.4422,0.9301,3.8621,0.4809,14.1309,1.902,1.2707
FANCD2OS,1.0569,0.6962,0.9649,0.738,1.1474,0.9709,0.8538,2.677,0.9196,1.4178,0.7939,0.7581,1.4055,2.0044,0.7731,0.4885,0.8559,1.7835,0.8038,0.6958,93.8548,1.3899,1.6013,1.0828,0.8172
IARS2,100.7955,110.4433,91.75625,94.1214,156.4124,277.7776,165.4852,315.5887,104.1208,181.3031,109.1888,114.8307,108.3873,86.0121,120.606,89.9544,108.5654,113.0687,117.0913,79.1904,92.9556,62.3462,100.7644,81.8829,58.7051
CELA3B,2.6647,4.9007,1.8588,4.8181,1.8593,2.0105,2.1326,2.1911,2.1783,1.6752,1.5421,1.8042,3362.5494,1.5204,1.5774,1.6894,1.6453,1.7282,3.7155,74.3698,30.3765,5.835,2.4931,2.751,2.7902
RPS3A,693.5984,1826.3652,827.059,1838.1243,1090.3014,947.5903,1367.2051,863.3509,1259.0492,695.8977,1746.52,1328.5912,1438.897,573.5687,1207.316,805.9104,967.5672,1618.2145,940.6124,1113.3702,671.05,1030.4037,1343.6202,1166.9114,869.1932
RBMS2,3.8896,3.4867,2.50615,4.8662,3.2186,4.7327,3.4744,1.7588,13.586,1.6153,4.886,2.465,0.8741,19.0267,2.3684,4.0043,16.8769,4.5029,3.1658,5.2436,3.6612,1.3292,4.8076,7.5929,6.1359
MRGPRX3,147.4593,29.9665,112.0754,55.4132,177.1147,359.3986,114.5658,61.3845,35.705,42.5199,17.2014,64.4314,199.257,33.7237,61.3112,60.1309,87.2271,76.1374,134.7808,22.271,21.9413,18.4738,27.441,65.1514,57.5154
SGSM2,19.1071,19.5696,26.415,13.5697,10.2492,8.6799,15.593,8.5535,13.8015,10.4324,19.5525,16.2634,4.5766,12.6701,18.8101,27.1254,19.41,8.5905,15.2093,13.3272,13.8968,20.4965,20.468,24.4503,18.0832
XRN2,20.2718,67.1797,14.13575,42.8072,24.6319,22.3308,28.1249,33.2223,30.3666,20.6792,27.5771,27.0311,31.8956,21.6414,27.8369,20.7183,17.1847,26.8845,16.2384,31.0683,33.6893,30.1665,29.6381,20.4947,19.7988
CYP4F22,3.1464,12.1552,2.93565,3.5562,7.7828,3.7627,4.1505,8.8607,1.7294,2.4781,3.1689,5.795,9.9305,2.0556,4.6002,2.1947,4.4353,10.919,8.3739,2.1034,1.8897,4.6755,1.6982,5.1433,4.4556
EMCN,27.7056,1.0473,6.83605,66.8752,13.4683,84.5866,187.4491,13.7153,81.0738,26.6862,19.2111,7.1833,7.5373,2.5682,15.0748,23.9677,4.4563,24.2541,21.6912,5.1887,2.502,9.6288,51.65,7.9453,25.5187
EPHA7,0.7801,1.0294,0.7035,1.0994,2.3125,1.4509,1.8932,0.5913,0.8312,1.9702,0.7445,0.6491,3.3705,0.7058,1.0753,0.4874,1.3924,0.6901,1.9121,2.7498,1.216,0.7831,1.0116,0.7337,1.1039
ZBTB10,0.6527,2.6867,1.1851,1.42,1.0669,1.2926,2.4498,1.1505,2.9163,0.772,2.2324,1.0961,0.9825,2.0565,3.7622,0.9283,0.8052,1.1662,0.6943,1.0231,4.5613,1.0307,1.3264,1.2271,1.367
IFITM1,237.2192,698.9879,241.44745,387.697,254.2764,223.5731,160.9076,175.21,268.0066,98.8486,437.7717,332.5619,90.0649,276.3764,336.628,528.911,101.3886,211.5516,372.3836,788.5406,68.9676,335.6698,160.548,307.6532,571.8135
HGH1,11.4708,5.4861,4.8338,2.4863,9.3272,4.5506,2.859,11.0569,4.0597,20.3038,4.3356,5.7325,6.3893,4.5002,4.2082,5.8982,8.1177,4.5694,7.9426,6.2625,7.1392,6.7476,6.8227,5.0016,7.2776
DGKE,1.6168,2.1359,0.9365,1.1148,0.9903,0.5125,0.802,15.8262,2.1268,0.6658,1.2291,0.986,0.7329,0.8997,0.856,1.2976,0.5202,0.7513,0.8884,1.8094,4.956,3.7141,0.7707,1.5326,0.684
MAPKBP1,44.0834,21.9654,30.00905,14.9367,14.3775,9.7762,19.6124,12.0945,15.9276,11.2298,49.3027,31.8614,4.6271,28.9675,23.6515,45.5801,16.0652,58.5073,31.5354,25.593,64.0356,40.0107,39.2046,36.0464,44.9991
RPS15,1291.1976,1344.5112,1213.1842,1099.1943,1179.5936,900.4319,970.3348,879.371,1199.0838,1157.1893,1358.2609,1262.7803,1274.5766,1119.8062,1274.7924,1437.3614,1379.5226,1386.433,1494.4511,1304.7377,1297.5935,1300.9375,1020.3847,1381.3717,1295.0703
MAU2,3.5275,4.7061,1.22755,1.2478,1.3242,1.4256,1.2008,5.5128,1.5337,2.5901,2.2895,3.3377,4.0613,4.0904,2.0699,3.2956,3.9297,2.06,2.1508,2.9799,4.2209,5.0457,1.2444,2.7858,3.2037
KRTAP3-1,160.1409,14.6194,339.8046,6.6044,181.1981,1500.3951,129.5981,67.2232,8.2253,297.2632,4.9777,14.6481,17.7645,17.3849,18.125,23.9988,138.6982,39.0599,60.7001,8.7541,15.4285,4.9078,7.878,25.6121,7.2889
COX20,111.753,42.0315,95.8209,82.3849,98.135,256.7405,157.3644,71.9848,64.4472,75.363,98.1358,52.1493,65.4141,46.0375,86.125,168.3957,66.2491,43.1027,94.8246,53.1719,102.6083,69.047,91.6722,39.4517,70.6569
PSME2,1394.204,892.4346,305.46655,469.8818,1158.5269,447.264,668.8673,703.1879,695.1889,234.5564,443.8636,702.3632,406.1074,788.5288,570.569,472.1595,488.0263,336.8174,1587.0355,1141.1862,319.1221,842.2496,518.1178,643.8431,420.1686
ATRNL1,13.9528,1.3441,67.85975,1.4981,6.7876,3.553,16.0845,4.9258,1.0264,2.8861,51.0658,1.0762,10.523,2.0922,5.8675,5.2765,4.3377,2.0823,1.0666,1.2018,2.3713,0.7294,1.1507,1.4043,8.9684
C16orf46,1.0107,1.8208,1.4623,1.8542,2.6066,1.7288,1.7785,1.7613,2.0656,2.677,2.1198,2.9288,7.7181,1.7237,1.7143,1.1423,2.4321,1.3154,1.1928,1.5089,2.8787,1.9072,1.9909,1.2017,1.017
WDR26,64.4589,173.7519,61.1691,89.6258,66.5564,67.3937,110.3703,72.0844,100.8569,87.7002,66.7344,145.5855,77.6365,123.0607,91.1068,80.8538,66.6638,138.813,50.6235,142.2869,261.698,153.1646,84.4914,85.2801,79.9373
ANAPC11,106.4494,76.8849,95.86535,103.4282,76.9205,147.5183,63.7118,129.343,101.0784,270.182,61.6546,71.8391,86.3314,140.2729,104.4317,115.9881,122.2403,65.4131,87.7029,71.4308,224.9666,117.7157,85.3298,97.2197,92.3291
PCMT1,47.6658,83.1937,97.18105,73.6425,67.412,170.9292,55.0993,78.7064,57.9565,149.1431,26.3089,51.6914,67.2356,66.2829,60.9708,69.4679,66.2674,45.0713,46.4145,48.8452,246.0181,81.0766,52.8387,46.5228,37.1604
HERPUD1,145.033,97.1237,77.70585,98.8849,77.2419,88.4173,116.9481,94.9381,117.8287,118.1654,111.6749,196.7,348.6202,160.2428,489.2302,133.4112,265.7952,93.6328,137.4885,157.7749,35.4314,52.2573,150.1163,257.2274,105.7868
ANGPT4,8.0161,2.593,1.4933,1.0193,1.5977,1.3976,1.9546,0.6,0.8007,1.5181,1.4685,1.3821,2.8372,0.9566,1.3189,1.6131,1.5704,1.4547,0.8816,1.4398,0.9153,1.2317,1.0162,1.9588,0.9909
FAM20C,18.8756,9.9186,19.96805,19.671,15.1644,13.0226,42.7586,41.5782,16.7392,40.8773,16.8451,18.9755,6.3162,12.718,20.6472,23.7184,113.3021,17.7379,28.4519,7.9615,7.959,6.0666,13.0839,17.9835,21.1885
SLC28A3,0.9302,0.8829,0.87095,1.7837,1.2015,1.2673,0.8562,3.6141,2.6083,0.7774,0.7185,1.1936,11.8151,0.7491,0.4917,1.1343,1.1048,1.1534,2.7708,1.1607,0.8613,0.6406,0.7105,7.6082,0.7111
RBM39,97.6849,384.4358,99.284,195.317,154.0254,138.8884,260.2844,139.5309,155.0646,92.3599,243.0733,135.7022,186.8865,133.9361,201.7462,89.1374,67.107,144.3818,87.8728,189.2937,86.1512,149.7023,234.7825,92.8003,75.7905
PAPSS1,4.9513,16.2865,36.21475,37.0052,7.6541,3.1055,11.6468,5.3612,25.1774,2.2206,10.1232,17.5541,34.2785,7.0878,19.4985,12.6218,22.3188,16.8491,6.6219,9.0214,8.7733,15.1554,7.9296,28.8069,17.3023
AGFG2,20.4003,14.9581,18.83485,10.415,22.8291,41.0714,17.1376,15.5876,12.585,36.3614,11.0304,22.8811,24.3528,25.975,14.7529,11.1745,65.7779,15.9091,15.9689,12.3249,11.0286,12.3871,9.723,16.7833,14.927
ROBO4,21.3316,3.8506,11.4211,10.8259,11.2164,22.4429,18.0624,13.9901,51.5394,16.5226,15.1966,8.3478,20.0433,49.4029,8.2421,17.3972,10.5818,37.6142,22.1315,77.7329,6.0116,10.4285,18.2813,12.2207,33.5592
ADGRA3,1.894,3.1565,4.5405,2.2996,4.6292,2.9148,2.7408,12.029,1.7804,5.6852,2.5699,1.5144,11.5934,1.6203,2.2054,3.0793,1.8974,1.9303,3.0083,1.3599,3.3216,2.7361,6.0508,1.4938,4.0017
POLE,6.3283,5.1207,4.1589,2.4522,7.1891,4.8751,5.888,5.5553,4.2106,5.1097,4.4689,5.2459,5.723,5.7672,6.7901,4.208,5.9738,6.1749,4.8174,5.4801,10.1004,12.1338,2.7459,3.3336,5.0483
INPP5F,23.3631,16.1277,410.5318,39.0235,23.1897,16.103,43.864,14.5684,23.5082,14.6011,56.4784,22.1196,19.1221,32.2065,39.9863,56.4498,18.8094,26.0791,14.7842,13.7838,46.8009,15.6112,37.746,18.1643,31.5763
MID1IP1,0.7648,3.7599,2.90975,1.0029,1.6736,1.9095,1.3097,4.3803,2.8529,6.9603,1.5114,1.2708,1.2787,1.424,2.0827,1.6205,0.9662,1.5909,1.2706,0.7085,1.6812,1.454,0.451,1.5234,1.4792
RRAD,9.7046,0.7464,11.8304,11.2807,6.4925,85.2052,22.4239,1.347,38.9114,219.6971,29.8448,39.1878,2.0907,66.6215,16.4808,47.896,0.8001,8.4589,12.8636,4.7325,3.6551,4.5602,12.3337,143.4616,48.6144
PAGR1,36.2615,19.4796,22.7084,30.6272,23.2345,19.2448,19.6855,15.2274,19.3995,33.1793,72.9687,33.2551,23.1522,38.2002,49.8083,37.2926,32.8644,20.8748,34.6835,28.5361,29.2646,41.666,36.3793,26.4523,56.7123
WDR7,35.7424,26.611,137.67375,21.1062,33.8999,37.6043,31.9572,42.211,40.5334,39.8818,35.547,29.6094,28.0546,16.0315,43.7284,41.2758,16.3968,31.0653,29.2866,43.5526,16.7921,32.6427,49.1732,20.8539,26.6511
MTERF4,8.027,12.9503,9.4986,13.6496,8.1468,8.906,7.543,13.9372,8.9327,27.5185,7.8663,18.5169,6.4102,9.9604,17.7073,10.9733,12.4551,9.0902,8.9114,13.0433,8.7782,16.6037,13.7069,11.9732,14.1404
CEP89,1.9466,3.1044,1.9051,5.1448,4.0157,0.7741,3.7434,6.239,4.9297,1.9872,8.7278,2.7018,8.1325,2.5447,5.9367,3.4067,1.2712,4.4971,2.1008,3.0476,3.1782,5.5295,4.1086,1.3809,5.7107
HIST1H2BH,21.3944,195.7632,12.59575,62.5085,32.5783,20.1813,15.781,50.6187,36.7902,16.6721,20.5476,58.2057,33.5717,132.2884,106.235,20.161,35.2452,15.1778,45.524,52.0788,39.5258,138.8727,23.308,41.1965,41.2959
CEP68,1.0586,1.2528,1.92785,1.8167,0.7047,1.1675,0.9335,1.5629,1.2537,4.6887,2.2543,1.2273,1.6097,4.1042,1.8705,1.5737,1.3354,1.3034,0.8338,1.9899,1.3526,1.0472,1.3533,1.2498,2.4817
EPS8L3,1.758,1.8125,1.85915,1.9735,36.8242,2.9633,2.1281,1.5158,1.4182,3.26,0.9919,1.1746,3.1558,2.1205,2.3527,1.568,2.1146,1.8856,46.331,1.418,1.3032,2.6974,1.2738,1.8897,1.2845
ASNA1,46.1387,36.2004,36.25645,30.3406,19.6126,30.5141,25.4432,30.2193,30.9136,49.2424,22.2882,39.7015,22.4843,56.3898,22.6426,48.2931,47.9903,36.8002,28.1536,29.1451,36.2256,30.5054,43.0977,35.1451,42.8036
UBTD2,3.7924,1.4032,1.8488,7.9879,3.6574,2.0564,3.3975,1.4503,5.0691,2.857,3.0818,2.9966,4.4045,5.0363,2.8642,4.5139,2.0706,3.4791,4.5472,3.2668,90.543,3.6021,3.8438,3.8569,5.4894
SSNA1,157.8426,151.09,138.38575,103.8157,97.7247,116.815,88.0581,116.3,128.9312,161.0056,92.2284,195.4184,153.7548,121.4082,111.1548,135.2521,193.373,148.7048,169.7729,143.7188,463.3894,190.8349,105.3171,161.8828,188.8259
USF3,4.5541,3.0187,3.64555,2.5214,3.022,11.5575,2.5062,4.0013,1.5914,6.52,1.8776,2.5274,2.5029,1.3513,3.28,2.2939,3.3206,1.7315,3.4056,2.4031,1.9485,1.63,6.7599,1.6296,2.2287
RPS18,1829.7837,2699.4457,1382.7055,2964.7799,2316.3636,1167.7544,1657.5414,1806.49,2299.122,1490.6202,2862.5931,3178.5937,2616.1531,2031.3313,2382.9242,1871.4784,1842.1996,3446.4206,2536.008,2633.5057,1892.274,2184.9976,1879.112,2490.1532,2648.2321
ADORA3,13.1569,1.3462,12.8302,4.1581,1.5495,1.0605,1.1796,6.1807,14.3479,2.2712,1.1876,2.5977,3.9296,5.1795,1.8065,9.9436,4.1227,2.2049,10.062,3.2279,3.147,4.7907,1.9087,2.5488,1.7014
C1orf116,1.2834,1.5565,0.7318,7.9935,3.0153,1.0467,6.8184,4.7453,159.5032,1.0002,0.928,56.9549,13.3541,2.0803,90.2499,0.977,33.1592,74.6159,13.6906,0.9579,0.9264,2.2314,7.609,39.5829,2.1281
MOG,2.2298,1.4332,423.47735,1.882,2.6798,7.771,1.118,8.5495,1.2418,4.7145,2.5727,1.338,2.1138,2.7266,3.0336,1.9979,1.978,6.3495,3.7704,1.0635,1.2015,2.0246,2.0401,4.028,2.2718
LSM7,49.1772,94.2972,47.572,102.7854,112.5997,36.1981,38.2777,43.9047,64.9459,57.2785,70.346,92.3443,50.8415,93.6203,59.5474,45.7513,59.4217,31.6992,95.9233,99.9892,61.8333,159.2375,54.7328,63.2796,71.8657
MID2,15.5796,6.4127,7.49965,10.8468,8.2412,4.6043,9.0933,16.4213,12.1573,24.2173,9.3532,14.278,74.724,6.2604,19.5253,11.2386,24.8533,20.6398,9.4094,9.8071,4.5516,6.9036,13.1556,17.744,18.4952
GTF2H2,31.3832,69.0569,31.5509,101.425,32.7314,30.9389,67.4427,49.7941,28.3159,31.3497,33.0463,50.3301,53.1192,25.7333,67.1651,53.8457,26.7579,41.9075,25.9391,65.9341,141.3343,61.5365,84.1363,32.1244,45.8848
