gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,retina,salivary gland,skin,small intestine,spleen,testis,thymus gland,thyroid gland,trachea,uterus
FAM57B,1.4856,2.2265,5.27315,1.3125,1.6146,6.6339,2.3485,1.5579,1.6765,3.0421,1.4827,1.998,3.8211,2.3202,2.227,7.9617,6.9454,2.0801,2.7315,1.2244,41.9528,1.422,2.1686,2.0776,1.7428
MTERF2,13.208,7.3215,11.64445,20.4066,8.4608,30.8452,30.4175,21.5699,10.7772,11.9471,23.3771,4.5265,28.2376,3.8991,22.9178,9.0518,8.7232,9.5235,9.5767,5.344,12.2222,6.7284,20.2969,4.0013,5.7098
XRN1,25.2993,58.9949,16.4477,37.571,35.6676,24.2125,38.8864,57.881,29.1268,29.6196,48.2774,28.8969,13.328,34.3533,47.9909,28.7395,19.7503,26.7172,30.6696,42.3773,28.6321,35.9831,48.2042,22.6439,24.7067
MED22,12.3353,7.4117,10.2125,5.1884,4.7063,6.1339,4.5854,4.9192,6.7212,6.23,8.4074,7.7265,5.4034,12.161,8.7031,9.4471,7.9226,5.9841,6.4118,7.0076,4.4226,9.2658,16.492,7.7077,12.0723
RGS6,1.0582,1.5076,2.22055,1.9134,0.7966,4.7149,1.6105,1.2074,1.6659,1.1647,1.5088,1.172,3.3427,1.3436,2.0335,0.9221,2.0961,0.9818,1.06,2.1566,9.4075,1.6593,6.2239,1.14,2.9061
DDX58,5.363,74.7556,8.66615,42.4382,11.1991,12.6237,42.037,36.6365,30.4757,8.5499,48.2659,8.4613,11.195,12.7774,10.7196,4.3344,4.593,21.7069,9.3284,20.2583,4.4067,14.3904,11.3671,5.9452,6.2848
MANEA,5.3298,7.4461,9.6316,13.7777,11.0148,9.2356,24.0291,56.5006,24.6314,2.5083,18.9339,5.37,9.0551,3.6632,7.5154,3.9133,2.6343,10.1378,6.3047,11.3647,6.4695,3.9723,11.0545,2.7481,1.9803
LAG3,2.2491,12.1327,0.99705,1.2179,2.2191,2.4207,1.9709,1.1042,1.3361,4.4283,16.867,10.498,0.9348,1.7929,2.1653,1.4741,1.0955,0.8262,7.282,17.4648,2.3328,1.929,0.7304,3.7976,7.3741
ENOX1,3.9652,1.6697,34.067,6.001,13.2937,25.0466,20.152,1.0825,4.844,3.9009,33.1004,1.876,1.184,4.3067,11.6966,5.8231,3.1822,4.0038,3.0558,2.6263,70.5567,4.1391,1.5625,2.7314,9.5235
CORO1C,10.2018,27.6114,11.83045,21.4625,25.0882,7.6305,8.9083,17.6393,37.895,4.9443,9.1183,15.7502,3.9137,29.405,9.5892,14.7187,16.148,22.8381,23.6622,10.692,29.8356,18.3694,3.437,14.4175,34.974
GABRB3,1.3792,1.0422,10.554,0.8209,1.3187,1.5468,2.9442,0.959,0.8782,0.8594,0.8464,0.9314,1.9003,1.5645,1.31,3.0244,11.1918,0.786,0.6983,0.8824,9.1975,0.8589,3.2178,0.8748,0.8758
LAMB4,1.1902,0.8668,1.2935,1.4623,1.6949,1.1019,1.1862,1.6174,1.5668,1.4251,0.8559,1.0392,0.9747,4.9543,1.1933,0.9909,0.9444,41.4176,3.2691,0.9994,3.656,2.88,1.3412,0.7556,0.658
ECEL1,15.6021,1.3884,4.61345,3.1884,2.1325,3.3756,1.6047,1.8718,1.4516,8.5357,26.2859,1.4853,10.865,0.8607,1.8332,36.9254,1.4348,2.7457,1.48,4.7812,2.8666,2.2289,3.0544,1.7049,2.7114
ZNF428,38.5544,33.6681,58.7485,45.4603,36.2622,35.5013,29.5434,26.5309,26.1376,47.0714,39.9888,38.9905,49.5855,33.3995,36.615,41.017,53.2796,41.5844,36.0732,36.0215,39.8795,47.4645,35.0107,74.9563,54.4294
LRP12,3.8939,1.5724,9.19015,6.3008,3.8869,12.9203,5.5119,1.958,4.7499,10.5752,5.5809,2.9865,1.6255,2.7475,5.2048,3.8744,2.3894,5.0548,3.548,3.4188,4.5873,5.6866,4.8531,2.8937,10.0319
CALU,40.6166,18.9356,25.34585,51.2105,35.8154,110.3009,21.3727,34.9152,63.5796,38.1446,50.3639,27.1314,34.0699,143.6588,78.0931,45.8922,38.5888,61.7719,36.7013,33.0383,17.9207,15.1762,47.1167,46.9822,69.0059
BARD1,5.5249,20.9901,17.65325,24.3212,32.5019,6.4222,8.5918,8.9381,18.17,14.5025,30.7091,39.9901,15.0601,5.3635,26.6713,11.7536,5.3357,47.1688,22.819,20.6281,53.8661,55.3269,21.7018,19.5615,19.6149
