gene_symbol,adrenal gland,blood,bone marrow,brain,cecum,ganglia,heart,kidney,liver,lung,lymph nodes,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,salivary gland,skin,testis,thymus gland,thyroid gland,tongue,trachea,uterus
FAM8A1,87.9716,376.9976,69.1437,172.096147368421,80.2751,105.5151,56.57085,103.509,84.338,49.737,119.567,86.13905,151.698,81.8127,119.8684,77.3116,104.5267,140.0176,51.7261,70.0272333333334,81.2355,139.4021,34.393,135.9164,137.4677
TP53I11,28.8507,44.9106,24.2067,33.4830789473684,61.5812,47.7451,50.8576,31.6154,29.0495,37.2827,27.2175,37.38075,60.4937,31.9605,34.50135,35.12,32.9953,37.2017,47.4203,33.1527,30.3288,28.5316,38.2661,36.4079,24.2347
POLD1,27.8529,69.3069,117.6544,20.4459263157895,29.6482,29.327225,33.6814,37.0222,27.1414,66.519,45.0482,42.9859,13.4771,80.809,72.88615,71.0062,35.595,9.7162,32.9355,54.6574333333333,113.5045,59.5715,31.6724,13.5751,32.7829
RBP1,299.2277,21.1689,42.2213,98.3756473684211,45.5084,58.480125,107.07945,23.9572,185.8947,140.0906,74.6436,56.08355,499.55,49.0021,284.00695,175.7518,64.7564,90.7006,15.2213,102.0171,59.6732,86.8128,17.6273,39.8992,120.8019
IGFBP5,281.7178,17.3553,39.0846,61.0511157894737,112.6898,98.40145,90.6513,208.4634,38.2986,66.8845,84.0942,67.024,458.1573,66.0491,66.6698,268.8428,96.5779,48.0149,84.926,62.8648666666667,140.9852,167.2415,91.782,145.2792,218.8664
ASF1A,23.1868,55.377,21.7675,37.4296684210526,49.1702,32.71525,31.07495,17.1602,21.9047,15.115,34.4413,37.56275,21.0091,43.4815,19.773,16.3719,31.9712,49.5786,45.6876,29.8562333333333,48.4779,45.8182,28.7648,31.3956,37.9479
SUCO,26.0891,66.7036,53.0884,53.1202894736842,56.8258,47.633775,48.8937,30.4377,12.653,14.0732,43.322,62.7534,55.4723,31.2639,101.5337,60.78,58.0864,76.2572,45.7207,80.4347333333334,37.9198,100.8133,62.6193,67.5324,73.3413
HEBP2,135.5171,351.6498,139.0702,76.4948578947368,87.8289,105.741475,157.03975,115.9222,295.7223,240.0455,87.0391,258.9992,92.3389,97.7737,189.51865,296.0457,597.6969,153.1033,161.0894,58.6842,190.1089,243.4712,321.4058,223.4937,121.6692
ARHGAP32,38.7865,22.2764,23.8109,108.411010526316,41.2489,37.62715,36.0504,62.9962,25.6387,13.3519,8.1632,23.02485,38.8444,53.5353,72.5916,59.9319,43.0462,29.5574,55.4984,53.684,58.7173,26.3308,83.704,73.5637,24.1787
TMPO,45.73895,44.1646,81.1962,46.0382684210526,86.778,67.987975,58.8624,48.2513,32.6286,33.7083,58.1786,53.4054,47.4152,53.9933,42.48825,37.7381,42.6545,51.0999,39.967,56.1804,106.4021,35.8916,47.0476,43.9242,46.7645
ST20-MTHFS,47.8964,166.1539,83.7261,72.2243631578948,62.1656,64.4827,83.4756,134.5324,277.563,59.5626,52.8474,63.3818,63.6598,77.4193,60.0475,84.4528,69.6144,83.847,75.4646,58.6323666666667,60.523,50.8649,42.2374,64.9267,48.5579
MME,7.90915,264.6336,18.2313,21.3651315789474,9.9536,17.5196,19.19875,75.5086,11.3453,9.3447,7.9344,30.72525,8.6244,10.638,8.8737,22.5298,70.0412,10.6485,12.2706,6.9136,10.6112,8.0795,7.7594,8.4908,16.9814
RPP30,68.40375,90.4301,156.6779,71.2503421052632,103.6536,110.52585,120.97135,93.5898,88.8119,85.4168,94.9839,101.37375,121.225,118.4573,90.40475,93.5851,59.7933,74.1472,130.8261,126.833133333333,136.5325,82.978,78.977,121.6803,107.0858
TMEM11,40.84855,94.6547,48.0994,50.5981473684211,74.3774,45.987775,44.28875,16.1635,82.7894,138.1191,38.8712,57.0339,30.519,29.1412,42.89205,108.8508,153.0152,39.9115,70.8189,69.9039333333333,69.6365,77.6479,71.62,53.2073,70.1556
STC2,27.5253,23.9206,53.6922,25.5364157894737,24.3703,36.697825,33.3409,34.8305,42.7541,43.5339,24.5727,219.59215,41.8802,25.0934,46.036,42.632,28.0782,36.3948,43.7378,22.761,20.6381,34.2777,42.5548,32.2091,32.3375
CDH2,95.52585,27.7113,33.2184,70.5971789473684,18.7294,44.541075,60.7779,47.0641,54.1796,21.254,24.8119,279.76395,27.4947,26.3769,32.38895,29.2408,26.542,28.3715,34.3472,71.1534666666667,22.2208,19.6863,23.3179,28.0146,29.4291
EML3,38.34165,128.0484,56.9452,40.8413368421053,45.8951,44.001875,37.3996,29.3261,43.4041,95.782,105.7572,46.1774,36.0923,91.9982,62.08255,77.4755,58.2221,30.8169,25.4476,32.4523666666667,87.6298,87.9021,67.233,32.2303,48.3279
MTA2,15.1252,6.1429,12.9503,10.7432052631579,20.9078,31.94265,22.0571,13.0744,12.1827,13.0954,6.8841,38.27585,11.4992,28.2362,13.76865,15.5115,4.8187,25.2228,32.8222,15.7498,29.3374,5.716,13.9658,11.3253,27.5266
CTDSP2,228.03525,502.4465,256.7246,173.068636842105,181.3385,155.87895,189.4155,240.2945,198.2724,393.8968,193.4723,156.8443,208.9642,163.2058,235.34005,360.1013,217.3186,223.3166,183.3596,162.4381,371.3379,182.718,175.1562,255.7219,207.4434
OCRL,78.7852,50.9354,71.0013,75.1124947368421,45.4819,68.2473,75.18705,55.0892,58.0111,67.5929,52.993,71.5934,120.8915,57.0895,64.8178,92.7063,78.464,54.6494,93.2968,101.234866666667,52.9178,59.9332,51.6689,96.2969,74.3029
PSMD5,36.40625,46.3112,17.8134,34.0434157894737,40.0092,40.353975,11.7281,29.9512,29.4931,30.4465,44.0811,42.3453,28.4491,27.1749,45.60335,42.5214,38.2144,34.4728,18.1155,30.8405666666667,40.7983,43.0265,28.7761,51.3389,31.3671
TERF1,32.5658,42.7602,21.8802,47.4896473684211,24.2508,32.659425,26.0439,14.3923,15.0046,9.3127,40.2855,34.46625,27.6787,24.2131,38.63815,17.1339,39.0088,30.408,34.0072,18.7584666666667,29.6985,51.305,38.6836,25.9236,33.5292
CBY1,73.53815,10.8242,59.1788,57.0595210526316,23.6353,54.0154,61.13135,65.6272,14.0181,79.39,58.962,89.19315,77.0449,43.0948,72.7792,92.3069,33.5861,92.778,70.9794,83.6929,73.779,64.2865,64.093,63.6429,63.5247
LDB1,43.67395,89.1627,43.1037,24.7573684210526,27.545,33.616525,39.3533,37.4189,53.7093,74.7898,55.8839,33.23385,47.9748,38.6767,48.0891,63.6131,50.202,42.5287,37.1138,33.9298666666667,61.6595,67.6209,39.5112,27.8303,49.4517
B3GAT3,16.22765,13.5988,11.4443,32.8969210526316,33.8723,21.889,29.68255,23.6643,30.4854,16.6859,20.1635,16.7955,27.5867,18.3305,25.4,17.4105,22.0713,14.2962,14.2913,19.5974666666667,16.1239,18.3056,12.4354,21.5956,15.6039
SCNN1A,56.89285,14.4018,34.5033,31.6891315789474,44.2391,32.177575,44.4272,232.6158,46.3255,209.217,25.415,24.71475,38.9978,28.8176,70.22825,29.4907,83.9697,78.7817,52.4973,26.1157,31.0794,129.6463,86.1828,179.5229,31.7781
ATOX1,77.11795,85.8172,26.4314,75.7500842105263,26.6285,18.90765,54.20165,130.6214,280.6259,141.6134,88.911,147.26755,16.2599,64.9631,33.84685,100.0012,108.9777,76.1427,18.6395,50.0339333333333,115.7776,95.7605,48.3021,47.4494,18.1406
SAT1,339.0515,1006.012,749.0411,199.073415789474,154.4665,168.98495,104.1554,600.5261,304.6242,742.1171,582.9301,161.5182,253.3053,412.2338,668.21555,1211.7151,440.7164,594.0714,221.1124,162.836866666667,416.5443,738.1958,139.843,868.9813,346.2612
PRAF2,82.72295,81.2044,74.4645,135.272631578947,30.4009,23.694525,66.7762,47.8482,30.3076,129.7522,42.0741,123.22815,70.2604,29.8653,36.26455,93.536,57.64,18.3528,17.8275,66.9271333333333,110.233,102.4171,36.8642,83.3065,53.8792
