gene_symbol,adipose tissue,adrenal gland,bone marrow,brain,breast,cervix uteri,colon,epididymis,heart,kidney,liver,lung,lymph nodes,muscle,ovary,placenta,prostate,retina,salivary gland,skin,small intestine,spleen,stomach,testis,thymus gland,thyroid gland,trachea,urinary bladder
TMEM260,46.0463,43.5604,58.7516,50.7573428571429,28.1663,184.8334,47.8722,67.3763,34.0434,60.3208,34.6246,50.9556,69.5743,29.8151,59.6487,54.1058,54.8175,59.0947,23.6274,42.3518,52.1871,64.6189,26.991,44.1272,46.0607,71.2535,58.3548,40.8249
FAM81A,13.3412,11.5104,16.8275,137.123314285714,9.9479,32.9443,20.3275,31.6597,41.4031,0,11.076,20.7106,10.0565,25.2021,10.2235,10.8204,32.8791,28.5462,24.4577,19.2695,17.8691666666667,10.4078,24.1668,16.5084,9.2967,23.2705,34.4411,22.6425
ARID5A,92.9383,47.5436,74.3053,58.3610428571429,210.7319,81.617,109.9216,105.5619,72.9512,0,80.6091,114.0754,119.7978,119.244,45.1441,50.7275,59.968,60.4712,75.4077,74.9672,80.3591,139.7525,78.7442,36.1165,166.4679,45.8993,121.9205,143.194
JAM3,43.9739,35.9826,13.1832,87.7367857142857,55.8123,81.4292,132.1548,48.8098,58.8888,19.9741,9.8943,63.8546,37.4497,23.5742,122.0677,86.3463,28.4393,97.3976,36.259,34.1092,55.4739,39.1165,44.7938,62.3313,56.0184,21.3701,44.8825,157.7338
COL2A1,59.868,22.9663,28.3152,31.4396714285714,19.219,25.4554,25.9468,36.1,25.8841,17.843,32.9902,27.8094,25.7305,23.0907,35.2859,29.6649,25.8773,20.5849,17.1165,31.2515,36.9465,29.7413,31.3486,21.072,6.7816,22.3257,49.3261,23.1699
CCDC25,58.9108,66.3884,33.3442,108.271428571429,60.636,158.7744,92.4875,147.0642,61.3808,63.0183,66.5862,42.6768,66.2901,64.0378,48.2615,33.2846,40.3571,78.6228,65.6773,45.1722,75.8705666666667,137.518,42.8764,29.6965,50.8546,63.5047,176.2288,74.4603
ATP2B1,26.254,15.8888,31.1903,95.7045571428571,11.5274,32.7175,28.1892,23.3618,21.1852,26.21,21.7964,41.8979,36.9359,51.8127,22.1106,26.1965,18.2776,34.1624,8.3833,42.8422,33.4223333333333,68.2904,19.6888,37.4719,8.0599,19.5797,32.5145,15.9193
TIMP4,471.1887,47.8731,30.4103,59.8874571428571,140.1943,32.2686,29.8595,22.3618,71.6197,22.257,33.6809,13.7149,30.2307,63.7436,27.077,27.1171,30.2635,27.2614,45.3331,25.2273,30.2658,43.5873,33.1298,6.467,38.5772,22.8984,52.49,50.5737
OSBPL3,42.2858,27.4848,83.5642,57.0613857142857,35.9526,63.3549,50.013,33.7681,42.4652,128.6669,31.0731,86.9345,177.1939,35.7632,90.9077,58.9174,25.4636,55.789,22.8252,116.3782,92.334,120.6034,93.1576,25.8051,109.9842,128.7674,122.2016,32.6531
HIST1H2BO,41.0388,67.1571,76.7397,65.1237714285714,68.1915,67.4187,67.3105,57.083,74.8226,94.9438,79.1379,50.2565,64.1873,66.4411,81.9598,95.9939,77.0761,89.4434,120.897,55.1914,60.0254666666667,62.2816,72.3133,59.389,85.1786,62.4893,54.7113,78.3294
MAD2L2,57.4374,37.9395,70.4726,54.7058571428572,85.6506,42.1483,55.9865,56.8208,39.6308,46.5015,55.2566,41.4183,93.8531,78.7837,55.6674,47.0158,49.65,28.2194,135.3367,49.3028,41.3295,52.5242,55.4905,100.625,292.6378,45.7937,41.217,78.8723
MPL,86.935,90.8013,100.6978,71.9970285714286,56.1992,31.6068,88.3249,51.3461,68.3963,0,119.78,65.6435,48.3558,81.1777,52.0716,92.5217,77.6103,76.6564,35.3521,72.2556,83.9003333333333,47.7925,118.0914,49.0576,34.8602,46.0051,56.7645,32.8038
AP1AR,45.8348,67.4671,27.6071,69.8457285714286,27.5886,86.6524,55.3456,41.2579,48.6444,80.439,50.1631,46.7942,55.2648,46.2846,68.802,40.949,40.1716,56.0465,45.1248,63.9546,42.0122333333333,98.0301,25.364,72.8964,59.065,46.0051,65.6261,45.9118
RNF151,51.0734,45.1952,63.536,58.8328285714286,25.1033,55.307,33.7352,42.2189,45.2932,42.5076,58.3962,46.3652,56.0336,67.9887,25.918,51.5518,47.7441,40.4155,33.4515,36.3807,45.7048333333333,65.8203,51.4302,405.234,30.7844,56.991,38.3775,45.7009
BET1L,55.7436,57.8218,47.9756,54.7603857142857,62.6225,70.1101,41.4079,92.5779,45.2932,67.837,56.9357,50.3723,100.1034,43.4947,67.3908,60.4287,74.1173,50.2977,146.3577,47.3011,62.3062666666667,51.4469,60.9843,51.9644,91.0606,72.4112,63.1069,81.6441
SYT2,0,0,0,35.8943,0,60.087,0,20.7256,0,0,0,0,23.4665,0,0,0,0,0,45.3331,0,11.3409666666667,23.5158,0,0,36.6716,0,24.1033,64.4058
LHX9,75.8918,68.0913,49.3197,72.8546571428572,30.46,51.9733,51.4142,35.9341,110.9258,53.1455,76.0999,52.1425,70.0566,67.3654,171.633,52.5102,61.2237,113.1223,462.8236,49.0763,57.2191333333333,53.5007,74.6824,120.6996,48.1205,43.9345,55.2175,87.282
ARID3B,53.1123,43.8624,82.6076,54.1564857142857,84.0873,40.2513,66.8472,55.3997,36.3105,59.3563,54.6241,55.3595,111.0322,56.9425,43.5112,110.2157,58.603,115.7573,59.6232,42.5472,55.6002333333333,126.5784,71.8155,205.4499,100.3068,43.7327,60.2666,48.0756
MST1R,60.5613,91.4307,74.6483,73.6998285714286,71.241,45.0589,105.7019,59.4986,72.449,62.2969,80.4237,79.6511,60.5967,76.8133,63.9147,64.3048,77.0761,57.6167,74.0313,191.3689,104.030266666667,55.8933,195.983,86.2394,97.7981,69.6315,92.6994,62.6505
UPF1,59.1827,67.0026,75.5127,66.9876142857143,94.1305,48.5043,55.601,48.3623,60.8181,86.7894,71.3484,67.0181,56.1628,65.6805,75.6138,110.4698,85.098,46.4032,73.6912,73.0923,57.5070333333333,62.7133,71.1571,117.4102,92.9673,78.6694,67.0003,60.3844
GDPD2,45.4145,50.3607,52.3625,103.960028571429,33.5529,29.0255,34.0473,150.8367,43.6549,48.693,53.6271,51.0731,42.6039,44.3034,27.8356,62.4085,52.592,42.3203,101.0219,190.4897,57.8827333333333,339.9065,104.7655,35.7854,33.4449,35.9589,64.8749,36.8065
UCN,108.4413,96.6255,133.6657,103.9911,60.2185,47.4002,63.8385,47.6988,88.1115,106.7743,156.4532,103.56,62.7262,94.7189,72.2106,164.5294,85.2942,100.1263,58.535,109.3633,92.0551666666667,68.1333,140.0291,81.9796,50.621,95.6766,49.668,41.9686
SNAP25,7.8198,5.7292,4.8867,99.9879571428571,6.0219,13.9245,38.0262,8.4044,12.1628,2.8541,4.8908,8.4565,3.7883,3.6261,5.0188,2.9325,9.2028,24.5781,4.1631,8.7271,14.0989333333333,5.2043,13.4035,6.1902,1.5323,5.1857,7.3464,21.0341
KDELR1,54.6003,61.5307,24.6048,32.1514571428571,148.8436,98.3514,43.7606,39.22,45.5022,69.7376,48.2374,36.0738,44.6117,32.4666,79.91,74.002,59.6925,38.5965,240.1129,52.8289,41.2858333333333,21.25,52.2659,52.2043,111.5143,90.1168,35.0007,162.1529
KIF26B,51.1911,81.3003,65.1658,92.2268857142857,52.2072,40.2513,52.8546,44.4127,76.5654,65.3833,78.232,68.107,56.1628,76.6367,107.0535,128.6008,86.8799,67.6937,63.4476,77.9599,52.1073333333333,47.9026,81.5114,83.6962,70.5229,78.4885,38.0257,71.2729
REEP4,41.2282,26.6742,104.4768,28.6888,104.8891,89.08,42.9618,53.7659,21.5294,18.598,28.339,47.9946,79.515,16.8049,62.4598,152.14,32.0568,30.2377,87.5821,175.7403,49.4084666666667,101.4751,36.4937,100.625,228.2077,45.5833,64.7257,105.6634
FIS1,57.7025,66.8485,48.197,78.5854142857143,95.8805,37.9123,39.4533,159.0403,76.3893,58.6768,50.1631,33.8214,36.0952,77.8819,90.4901,39.4679,37.7502,55.9176,84.4142,48.4029,73.4461,74.5349,39.8307,28.8208,56.7977,72.9132,70.1579,65.4523
TMEM136,63.7081,122.2058,114.2931,79.1538571428572,66.0283,48.5043,85.9178,56.4296,86.3043,0,55.7679,73.4839,51.2211,53.1418,50.6525,99.3673,73.9468,82.7081,62.7214,60.5162,61.8308333333333,42.8903,66.1026,48.496,60.4408,67.89,50.708,58.7388
TWF2,75.7173,46.8913,61.947,48.3156285714286,114.4802,47.7288,51.6515,35.6868,158.5012,40.7818,55.0027,48.9995,80.0661,340.7506,68.4859,37.0036,50.9236,28.5462,63.7405,41.7707,44.8796666666667,43.6877,58.1056,24.8717,133.7613,46.8604,32.2907,84.7081
MED28,62.6895,51.5338,100.2351,38.9085714285714,57.244,38.9745,39.1817,41.8319,48.0876,43.6985,42.7941,65.4926,59.903,108.2522,72.0445,52.8742,52.3503,54.1437,53.1393,66.5076,48.7991666666667,53.2549,43.3729,50.8986,99.6163,83.9085,38.6435,54.0661
DHX37,94.2312,106.4368,97.5035,91.1712857142857,74.085,46.9657,50.8257,62.5903,74.6505,94.2902,99.8583,78.3776,69.5743,138.8151,68.0144,89.3807,82.7789,69.9114,50.0513,107.1202,72.2364666666667,80.2342,108.1978,76.6842,61.2816,83.7155,63.9848,43.3436
PRKCH,79.2857,31.7024,44.9801,38.5720714285714,135.4348,56.2057,51.4142,35.9341,79.0738,38.0598,52.2859,124.7935,106.0349,39.4854,23.9663,104.2902,64.405,42.2229,90.2434,69.1626,56.004,142.3507,57.1766,32.6367,129.5181,53.4326,54.4599,60.803
GPR63,64.2976,104.735,119.4043,73.7548285714286,39.3306,39.4258,62.2419,45.0305,50.238,68.1501,87.3744,76.7701,66.1377,35.517,83.1,76.7792,93.7388,36.6057,30.0895,112.4272,85.5330333333333,39.5694,114.8731,122.6608,73.5073,66.1921,34.4411,52.5926
ITIH1,19.1071,11.8057,11.2466,17.4209285714286,18.3118,11.4493,25.4732,13.3816,12.5612,13.3189,987.1526,18.4583,28.6714,11.0265,19.9343,13.7165,17.295,16.4266,9.2133,14.8892,22.5987666666667,18.423,18.6302,13.5116,16.8784,9.6562,15.3136,19.6302
CALCR,47.1189,52.1305,73.1173,150.731528571429,47.9436,36.206,38.6441,38.8604,51.8839,58.0052,46.0664,63.8546,49.2548,44.9197,50.536,54.4808,60.8022,105.5719,36.3426,52.7074,40.0011333333333,42.5951,57.0451,94.7776,30.7844,46.5378,36.5659,31.3274
BRIP1,37.1702,31.4117,386.3848,38.3347857142857,32.7892,59.1263,44.8831,47.6988,34.5965,51.5783,75.7503,51.9029,66.2901,25.3768,34.5622,50.3783,43.5431,54.0192,31.4351,64.5463,84.4979666666667,78.2275,42.4833,226.8328,57.5878,22.0702,50.2431,30.6143
KCND2,26.0732,11.3787,11.7766,174.878285714286,10.9328,40.7174,18.8835,27.0089,24.1009,11.3101,21.008,10.6953,27.4441,17.1174,55.2842,10.7212,11.6659,15.0851,20.626,8.3343,16.3923666666667,11.5974,14.2304,24.1939,12.2273,9.2216,13.1849,27.7284
ZNF432,46.7945,98.6488,46.1339,53.1167,23.1063,65.1299,56.8962,68.1565,44.3642,49.0305,36.9304,44.8944,61.2984,45.0232,73.3839,62.5523,134.5611,91.3163,15.4318,51.153,55.0302333333333,82.6722,46.4749,61.9022,16.0816,58.5876,77.4599,17.4552
KCNK15,51.9033,52.3711,40.928,57.8849571428572,35.4593,45.5806,53.5899,50.9926,43.2546,61.3009,66.8936,34.689,45.1283,20.9622,52.0716,27.4311,125.2909,63.76,89.8288,36.802,47.7171666666667,73.3431,83.6023,68.8186,33.2913,44.2391,43.9619,32.8795
VLDLR,148.6603,60.2687,18.7508,56.1106428571429,97.6631,53.0616,45.1942,46.2921,189.2486,42.021,16.1951,53.2344,17.638,149.4296,286.8144,42.8789,35.3118,87.4074,69.7293,33.4096,37.0916333333333,65.5178,31.9314,36.788,19.2899,80.3167,63.1069,88.4962
PITHD1,37.1702,42.2758,80.9133,93.5034142857143,72.5655,47.5095,32.8914,44.8236,38.3736,30.232,32.0911,32.7485,74.2077,54.3797,46.0894,35.7473,50.3407,44.1111,83.256,48.1805,33.9293,40.3051,28.6562,49.5115,243.9666,38.5306,40.8392,69.012
MED6,45.2059,40.9347,39.4475,46.5851714285714,24.6451,40.7174,24.9507,40.0412,43.6549,29.1385,39.2089,49.2257,36.0952,63.8905,40.5136,65.9544,39.1669,54.897,26.9411,54.309,40.9764333333333,42.5951,35.0928,37.6449,35.7545,50.3276,43.6593,33.1837
DMPK,58.2364,99.7911,30.5506,50.4999142857143,37.0451,46.8576,163.3364,56.5597,126.7747,46.6087,27.2511,47.1186,38.4989,112.5736,66.1608,43.3754,54.9439,86.4069,27.8237,43.0399,117.5392,43.387,85.3529,28.8208,36.9258,39.247,50.4751,127.916
RBMS2,95.9831,47.1077,25.1779,26.9199571428571,96.3231,68.5142,82.81,41.6397,78.8919,67.837,29.0659,186.291,37.7963,46.2846,66.9269,153.9017,49.3082,53.771,45.3331,37.9203,56.3062,45.5365,53.854,26.2849,37.6123,93.2837,39.8178,87.0813
PRF1,76.2421,41.2185,112.7249,51.2492714285714,65.1224,42.4405,44.3693,40.5049,59.9836,59.0836,124.2752,114.0754,85.5951,42.7993,29.553,57.842,40.1716,26.8255,66.1326,47.1923,63.9574,196.0467,92.5163,80.6689,104.3111,51.3814,45.6118,77.7902
PLAC1,15.5308,17.9098,18.8808,20.1067714285714,14.313,20.2666,16.9857,19.1649,22.7004,14.108,20.7675,13.1884,18.2999,27.0045,12.3197,1117.4897,15.7732,17.7234,88.5963,23.7067,16.9251333333333,11.8402,16.1889,22.3721,17.4715,12.0727,12.164,23.3843
UXT,41.4185,76.0487,62.8087,34.2309,98.5667,62.0555,33.8129,39.9491,44.8779,52.1755,66.7397,35.0907,91.9282,34.5491,69.2789,54.2305,63.9616,18.7736,210.0949,46.2244,53.3862333333333,71.0165,67.6423,21.8628,210.0537,68.9931,64.5768,95.9234
DOC2B,73.3153,36.1486,46.0278,103.3619,26.8986,27.7192,30.7668,15.7582,30.063,35.5195,12.3704,24.8996,27.2552,28.2772,18.0968,32.6019,37.3181,101.9878,22.1521,35.2267,34.5807666666667,25.844,33.0536,16.7767,29.9454,15.5886,26.0661,43.2439
TEX2,36.8294,48.0941,37.9332,75.3696571428571,74.5985,53.0616,38.4665,54.3885,48.8689,31.7298,37.4442,31.0593,24.9717,65.2284,49.8426,24.1126,31.7629,136.9457,61.012,36.8868,27.4492333333333,36.4216,21.9897,130.5287,26.6889,68.0465,31.8476,52.7138
CASP6,75.196,48.651,104.4768,30.7869428571429,316.0314,101.3399,112.2233,116.2806,62.2347,86.9895,113.8634,64.2972,88.6031,41.9215,97.4094,47.0158,89.5199,44.9312,117.3317,91.8061,130.572,119.7732,70.3426,21.8125,153.9325,120.4498,136.4825,152.3789
KCNMB2,7.3654,28.4506,2.8842,73.7651142857143,12.1823,56.8565,26.1868,205.8293,89.5432,76.4657,5.0978,43.0717,16.8054,18.8554,111.0711,11.0724,14.6865,13.4137,50.7476,12.6145,34.5184,47.9026,26.4983,11.3424,19.6034,23.4858,32.9668,60.3844
TMC7,42.481,13.9345,15.4533,89.4757428571429,26.8368,26.1084,38.7332,26.455,29.7874,17.761,30.0182,35.7431,19.2952,18.5967,16.5806,43.4754,35.803,31.9557,21.8986,16.3257,35.5772333333333,34.7824,26.5594,111.0979,17.1526,10.5635,26.3073,55.453
SIX1,132.4936,23.4473,26.9786,79.2738428571429,36.79,51.6155,23.0719,20.3942,21.0394,19.1631,13.1942,39.6453,54.6322,630.1394,14.1449,27.1171,154.4968,36.69,925.5833,17.6552,17.2470333333333,26.9997,19.9167,33.7836,271.2254,34.6582,197.2772,49.7651
YTHDF3,36.6602,45.1952,45.0837,68.0145857142857,39.2401,146.8184,77.2828,87.1981,63.5379,53.3908,46.8149,52.7463,67.3673,105.7881,63.0378,75.2045,50.1094,47.8132,56.8088,29.1656,53.8934333333333,98.7096,33.4363,47.7206,54.7432,46.0051,65.7774,86.4818
DDX39B,44.8947,45.8239,44.8766,38.4696285714286,55.3007,59.3992,56.7653,75.2501,35.9776,35.9308,35.5128,42.0913,82.499,29.0026,36.4419,37.1744,52.8347,48.0339,41.7268,53.4406,69.085,61.427,48.8898,27.9709,82.8572,58.9937,57.2897,44.9702
CDKL3,52.8682,42.0816,42.1716,62.9026428571429,41.3743,46.1084,47.4333,52.7846,37.9344,53.6373,31.0016,40.756,38.146,67.0558,40.7944,49.8016,46.1232,73.8836,32.0934,36.1303,54.2260666666667,42.8903,37.4299,202.631,38.2235,72.2447,48.8739,55.0712
DTX1,162.2538,34.761,28.0556,100.6208,86.4431,28.2996,44.7799,46.613,29.7189,40.0375,104.8056,14.2624,139.139,29.406,26.7671,15.6763,12.9396,46.8326,84.0264,17.8185,55.402,144.9972,46.582,39.0576,75.2195,31.0317,21.0415,36.3015
ACY3,48.9999,39.6362,63.0986,61.1029142857143,43.0259,46.3213,62.2419,45.2384,37.7601,257.9091,121.167,51.6645,42.8992,33.2228,41.2668,56.1363,49.8792,31.1565,72.3462,61.2169,74.5935333333333,30.2942,90.8277,41.3719,44.089,42.1508,47.9818,41.8721
GABRG3,15.3177,18.7539,2.198,255.486671428571,67.8782,21.4181,13.3685,40.3188,11.1182,31.2944,14.3346,1.7832,19.8358,27.2544,14.2758,0.5061,343.4943,265.7959,37.3607,27.0316,14.8581666666667,39.297,37.4299,424.3321,140.3881,18.915,29.5854,25.8181
LCP1,42.9729,18.2849,340.4239,8.64795714285714,64.2289,13.8605,11.9973,183.4455,9.4196,7.1362,31.0016,74.6779,199.2732,6.8776,8.1583,48.2218,71.4364,15.9422,29.8824,24.5398,37.2658666666667,182.5406,29.6632,18.6083,226.1155,27.5934,21.4821,30.2639
TRPV3,52.0229,37.6784,49.8907,102.729371428571,25.0455,22.531,60.1289,39.3104,42.7595,27.1311,57.0669,30.2825,54.0069,43.2949,112.3572,48.4444,33.8781,71.8701,13.0441,196.2779,53.1237666666667,44.6025,60.8441,204.9774,40.9572,20.6446,42.7639,42.6506
CMSS1,50.4888,109.1671,27.2283,44.9313,28.1663,0,50.5921,0,66.2266,40.8758,57.3303,29.6614,0,57.4694,41.8409,17.3478,32.0568,31.0133,0,46.1181,23.6262,0,44.3832,67.7183,0,48.8434,0,0
ADGRG2,94.8844,34.8411,24.6048,37.5520142857143,70.7506,47.0739,48.65,3023.4801,52.6057,28.2792,23.6257,96.4255,165.367,45.966,19.6608,45.2109,85.2942,76.4801,175.9606,41.2925,68.3170333333333,62.569,46.0488,270.8357,240.0658,93.0692,73.4644,57.0065
SPTB,20.6631,15.563,317.702,42.1789428571429,19.4415,14.9893,21.5816,37.2827,65.1677,16.273,22.1505,16.8342,14.1075,397.5911,16.1659,25.249,15.7732,17.4,19.6072,18.7013,19.3965333333333,18.1702,20.0548,14.7132,13.223,14.1191,17.1032,23.7643
NANS,54.6003,50.4768,60.2587,51.7172142857143,292.2337,36.206,89.3476,73.8766,51.5267,0,52.7697,62.8336,55.6479,42.115,78.091,57.709,199.9491,43.6062,202.9624,57.2627,72.8688,46.49,111.2291,39.5099,54.9959,58.8581,121.6401,43.0452
MAP1A,19.1071,10.2116,9.5724,116.408814285714,14.346,18.2297,37.6776,14.2072,22.0309,13.0157,10.0319,17.1077,12.4008,14.3033,17.0059,12.1967,11.6123,33.4617,15.7549,12.2708,17.0017,9.3834,12.6246,10.9574,38.6661,8.3908,18.8398,42.2595
