gene_symbol,adipose tissue,adrenal gland,brain,breast,colon,heart,kidney,liver,lung,lymph nodes,muscle,ovary,prostate,testis,thyroid gland
TSPAN6,74.8495,12.533,15.4042,48.581,42.9468,10.5899,38.4094,191.9156,37.1232,14.0484,2.3235,52.1363,34.33,41.5352,39.4522
TNMD,58.8104,11.7497,0.3081,134.9473,5.9237,1.059,0.3601,0,0.2007,0.8429,0.2323,1.372,0.7629,1.4834,0.4466
DPM1,72.1763,72.8481,78.0479,78.8092,93.2982,116.4892,99.6243,102.5302,79.2631,73.9885,104.5566,80.2625,83.9178,96.4209,118.3567
SCYL3,5.3464,7.0498,7.1886,8.6366,5.9237,5.295,7.2018,10.5159,3.01,7.4925,4.647,10.2901,9.1547,5.9336,8.9326
C1orf112,2.6732,1.5666,1.0269,2.1592,1.3328,1.059,1.2003,5.258,1.0033,2.8097,0.4647,2.058,2.2887,11.1255,1.4888
FGR,33.415,17.2329,3.0808,7.557,4.4428,7.9424,7.2018,13.1449,82.2731,29.97,4.647,3.43,4.5773,1.4834,5.2107
CFH,70.8397,68.1482,13.3503,78.8092,88.8554,66.1871,33.6082,1227.7338,79.2631,170.4544,18.5878,273.7158,61.0311,53.4024,86.3483
FUCA2,97.5717,55.6152,42.1048,83.1275,51.8323,79.4245,86.4211,115.6751,47.1565,41.2088,18.5878,72.7165,33.5671,55.6275,68.4831
GCLC,18.7124,19.5828,31.8353,34.5465,17.7711,15.8849,26.4065,76.2404,16.0533,12.1753,16.2644,13.7201,31.2785,10.3838,36.4747
NFYA,22.7222,12.533,19.512,18.3528,17.7711,13.2374,21.6053,15.7739,42.1399,20.6044,18.5878,27.4402,19.8351,42.2769,19.3539
STPG1,2.6732,2.3499,6.1617,3.2387,2.9618,2.3827,3.6009,1.0516,4.0133,2.8097,1.8588,4.802,3.8144,12.6089,2.2331
NIPAL3,8.0196,7.8331,72.9132,10.7958,14.8092,31.7698,18.0044,5.258,13.0433,14.0484,2.0911,7.5461,7.6289,5.9336,23.0758
LAS1L,21.3856,19.5828,17.4581,12.9549,16.2902,7.9424,14.4035,21.0318,11.0366,10.3022,9.2939,17.8361,16.7836,15.5757,20.8427
ENPP4,48.1176,19.5828,97.5599,41.024,44.4277,63.5396,62.4153,18.4029,64.2131,29.0334,58.087,10.9761,44.2476,25.2178,30.5197
SEMA3F,61.4836,14.0996,3.0808,8.6366,17.7711,10.5899,22.8056,5.258,69.2298,24.3506,4.647,4.802,16.7836,3.7085,11.1657
CFTR,0.2673,0.235,1.0269,0.2159,8.8855,0.5295,1.2003,2.629,9.03,0.1873,0,2.058,0.7629,0.5192,0.4466
ANKIB1,21.3856,17.2329,44.1587,26.9895,22.2138,26.4748,31.2076,10.5159,16.0533,26.2238,13.9409,27.4402,21.3609,30.4097,21.5871
CYP51A1,2.6732,0.7833,3.0808,1.0796,1.3328,1.059,2.4006,5.258,2.0067,0.9366,1.6264,3.43,0.7629,2.9668,1.4888
KRIT1,13.366,17.2329,16.4311,15.1141,14.8092,23.8273,18.0044,13.1449,12.04,16.8581,16.2644,21.2661,19.0722,19.2842,23.0758
RAD52,5.3464,9.3998,6.1617,6.4775,7.4046,5.295,7.2018,5.258,4.0133,13.1119,6.9704,8.2321,10.6804,4.4502,6.6994
BAD,30.7418,23.4994,23.6198,31.3078,35.5422,34.4173,25.2062,28.9188,24.0799,20.6044,13.9409,21.2661,25.1753,26.7012,23.8202
LAP3,120.2939,165.2789,100.6408,104.7191,69.6034,95.3094,190.8466,118.3041,156.5195,93.6563,67.3809,41.1603,63.3198,70.4615,59.5506
CD99,323.457,278.076,57.509,318.4755,239.9096,219.741,51.6126,236.6082,206.686,173.2641,188.2019,174.9312,272.3515,216.5763,87.0927
HS3ST1,0.6683,3.9166,2.0539,0.7557,1.1847,1.059,6.0015,0.5258,3.01,2.8097,0.9294,15.0921,3.0516,4.4502,0.7444
AOC1,0.2673,0.5483,0.1027,0.3239,10.3665,1.059,88.8217,1.5774,0.1003,0.7493,0,0.1372,0.4577,5.9336,0.3722
WNT16,0,1.5666,1.0269,0.108,0.7405,0,0.2401,0.2629,0.602,1.8731,0,0.2058,0.6103,1.4834,0
HECW1,0.1337,0.0783,15.4042,0.108,0.1481,0,0.3601,0,0.1003,0,0.2323,0.2058,0.2289,0.7417,0.3722
MAD1L1,8.0196,5.4832,4.1078,5.3979,4.4428,2.6475,3.6009,2.629,4.0133,2.8097,13.9409,6.174,3.8144,8.1587,4.4663
LASP1,126.9769,87.731,37.997,144.6635,75.5271,31.7698,60.0147,120.9331,93.3097,91.7831,16.2644,80.9485,32.8042,34.1182,34.2416
SNX11,14.7026,23.4994,14.3773,18.3528,14.8092,10.5899,20.405,21.0318,12.04,21.5409,16.2644,13.0341,16.7836,11.8672,22.3315
TMEM176A,30.7418,79.8979,13.3503,15.1141,75.5271,29.1223,175.2428,1183.0411,37.1232,105.8316,4.647,56.2524,20.598,15.5757,14.1433
M6PR,45.4444,44.6488,28.7545,39.9444,45.9086,50.3022,48.0117,52.5796,49.1632,59.94,44.1461,47.3343,39.6702,32.6348,74.4382
KLHL13,2.6732,3.1333,6.1617,6.4775,8.8855,7.9424,16.8041,1.3145,5.0167,1.8731,2.3235,10.2901,15.2578,8.1587,1.4888
CYP26B1,101.5815,18.0162,15.4042,28.069,11.8474,2.3827,26.4065,1.5774,3.01,19.6678,23.2348,8.2321,5.3402,36.3433,8.9326
ICA1,24.0588,9.3998,16.4311,16.1937,5.9237,29.1223,15.6038,26.2898,7.0233,5.6194,1.8588,2.058,9.9176,17.8008,7.4438
DBNDD1,0.802,2.3499,15.4042,4.3183,1.4809,2.6475,4.8012,1.3145,3.01,1.8731,6.9704,3.43,2.2887,1.4834,2.9775
ALS2,8.0196,6.2665,14.3773,7.557,5.9237,23.8273,9.6023,18.4029,7.0233,3.7463,16.2644,6.174,7.6289,8.1587,8.1882
CASP10,9.3562,14.8829,2.0539,11.8754,4.4428,7.9424,9.6023,10.5159,22.0733,21.5409,2.3235,4.802,5.3402,2.9668,4.4663
CFLAR,41.4346,38.3823,12.3234,38.8648,17.7711,50.3022,26.4065,21.0318,57.1898,36.5259,62.734,12.3481,16.7836,10.3838,49.1292
TFPI,69.5032,86.1644,4.1078,24.8303,53.3132,29.1223,42.0103,139.336,184.6128,87.1003,32.5287,11.6621,28.9898,16.3174,26.7978
NDUFAF7,9.3562,9.3998,10.2695,6.4775,14.8092,23.8273,10.8026,21.0318,6.02,10.3022,9.2939,6.174,11.4433,34.1182,8.9326
RBM5,18.7124,31.3325,18.485,23.7507,17.7711,21.1799,24.0059,18.4029,23.0766,39.3356,16.2644,29.4982,31.2785,18.5425,23.0758
MTMR7,1.3366,2.3499,32.8623,2.1592,2.9618,1.8532,2.4006,1.5774,1.0033,0.9366,2.0911,4.116,1.5258,1.4834,2.2331
SLC7A2,68.1666,30.5492,34.9162,26.9895,48.8705,39.7122,31.2076,249.7531,37.1232,44.955,388.0211,113.8768,21.3609,49.6939,50.618
ARF5,80.1959,54.8319,70.8593,55.0585,53.3132,52.9496,66.0161,86.7563,75.2498,56.1938,83.6453,46.6483,60.2683,48.9522,51.3624
SARM1,1.2029,2.3499,2.0539,1.0796,1.1847,0.7942,1.2003,1.3145,0.903,2.8097,0.2323,2.744,2.2887,0.7417,1.4888
POLDIP2,125.6403,85.3811,113.9911,112.2761,88.8554,267.3957,146.4358,473.2164,57.1898,67.4325,499.5482,85.7506,90.7838,86.7789,140.6882
PLXND1,69.5032,57.9651,12.3234,55.0585,16.2902,23.8273,16.8041,18.4029,36.1199,44.0184,9.2939,18.5221,16.0207,15.5757,17.1208
AK2,50.7908,50.9153,24.6467,60.4564,50.3514,37.0648,73.2179,144.5939,50.1665,33.7163,53.44,48.0203,40.4331,27.4429,64.0169
CD38,4.0098,10.9664,10.2695,4.3183,1.4809,13.2374,0.7202,7.8869,7.0233,23.4141,2.3235,2.058,2.2887,0.6675,2.2331
FKBP4,57.4738,22.7161,66.7515,34.5465,207.3293,50.3022,141.6346,107.7882,77.2564,147.9769,248.6123,90.5526,88.4952,113.48,173.441
KDM1A,37.4248,28.9826,31.8353,30.2282,35.5422,31.7698,32.4079,28.9188,30.0999,29.97,76.6748,50.7643,36.6187,105.3213,40.1966
RBM6,26.732,46.2154,24.6467,29.1486,19.252,23.8273,30.0073,21.0318,30.0999,58.0669,20.9113,44.5903,28.9898,26.7012,43.9185
CAMKK1,2.6732,4.6999,47.2395,2.1592,5.9237,2.6475,1.2003,0.5258,2.0067,2.8097,2.3235,4.116,11.4433,3.7085,2.9775
RECQL,49.4542,28.1993,13.3503,26.9895,34.0612,39.7122,16.8041,10.5159,22.0733,28.0969,20.9113,19.8941,17.5465,14.834,25.309
VPS50,5.3464,6.2665,13.3503,6.4775,7.4046,10.5899,12.0029,5.258,3.01,7.4925,13.9409,8.9181,8.3918,8.1587,9.677
HSPB6,656.2701,180.9452,32.8623,1053.6682,790.813,881.6117,25.2062,36.8057,150.4995,103.0219,1333.6774,227.0675,479.0945,402.7429,288.0758
ARHGAP33,1.2029,1.5666,8.2156,1.0796,1.1847,1.059,1.0803,0.5258,1.0033,1.8731,0.9294,6.86,3.8144,8.1587,1.4888
NDUFAB1,44.1078,58.7484,93.4521,92.8437,99.2219,489.7843,97.2238,186.6576,57.1898,53.3841,134.7618,45.9623,73.2374,57.1109,62.5281
PDK4,2432.6103,134.7298,79.0749,347.6241,1328.3881,4151.2525,484.9185,202.4315,140.4662,97.4025,9087.1296,24.6962,945.9827,97.1626,172.6966
SLC22A16,0.6683,0.235,0.1027,0.2159,0.1481,0.2647,0.12,0,1.0033,0.0937,0,0.4116,0,10.3838,0.1489
ZMYND10,0.2673,0.7833,2.0539,0.5398,0.1481,0.2647,0.7202,0.2629,25.0833,2.8097,0.2323,8.2321,0.2289,81.587,0.4466
ABCB5,2.6732,0.1567,0.1027,0.6477,0.8886,0.2647,0.12,0,0.2007,0.3746,0.4647,0.1372,2.2887,2.2251,0.1489
ARX,0,0.1567,12.3234,0.7557,0.4443,0,0.2401,0,2.0067,0.4683,13.9409,69.2865,0.3052,18.5425,0.7444
SLC25A13,14.7026,18.0162,15.4042,16.1937,8.8855,15.8849,46.8114,189.2866,9.03,8.4291,9.2939,17.1501,16.0207,14.0923,18.6096
ST7,9.3562,7.0498,8.2156,12.9549,10.3665,21.1799,10.8026,31.5478,17.0566,7.4925,13.9409,10.2901,12.9691,8.1587,18.6096
CDC27,57.4738,33.6824,45.1856,41.024,26.6566,50.3022,27.6067,39.4347,32.1066,22.4775,60.4105,31.5562,30.5156,35.6016,53.5955
SLC4A1,9.3562,0.3917,0.3081,0.8637,10.3665,0.2647,61.215,0.5258,36.1199,0.3746,0.2323,0.2744,0.3052,2.2251,0.1489
CALCR,0.1337,0,0.2054,0.108,0,0,4.8012,0,0.2007,0.1873,1.3941,0.1372,0.0763,0.3708,0.0744
HCCS,32.0784,20.3661,26.7006,30.2282,41.4659,105.8993,39.6097,39.4347,24.0799,22.4775,76.6748,21.2661,24.4125,28.9263,26.0534
DVL2,12.0294,10.9664,7.1886,9.7162,10.3665,7.9424,9.6023,5.258,10.0333,15.9216,16.2644,22.6382,17.5465,15.5757,14.1433
PRSS22,1.2029,0,0,1.0796,0.1481,0,3.6009,0.5258,9.03,0,0,0.6174,4.5773,0.2225,2.2331
UPF1,41.4346,22.7161,19.512,15.1141,29.6185,18.5324,25.2062,28.9188,36.1199,35.5894,44.1461,22.6382,28.2269,31.8931,26.7978
SKAP2,33.415,27.4159,17.4581,43.1831,54.7942,10.5899,50.4123,15.7739,53.1765,45.8916,37.1757,21.2661,38.9074,25.2178,8.1882
SLC25A5,398.3065,309.4085,425.1559,300.1227,521.285,235.6259,775.3895,878.0794,479.5919,345.5916,151.0262,217.4634,247.939,171.3326,263.5112
MCUB,14.7026,26.6326,5.1347,12.9549,19.252,7.9424,7.2018,2.629,15.05,55.2572,4.647,13.7201,12.2062,8.9004,5.2107
HOXA11,2.6732,0.7833,0,0.3239,19.252,0,8.4021,0,0.1003,0.0937,9.2939,0.1372,17.5465,2.2251,0
POLR2J,20.049,29.7659,20.5389,20.512,20.7329,50.3022,21.6053,52.5796,27.0899,29.97,132.4384,17.8361,28.2269,23.7344,26.7978
DHX33,13.366,16.4496,15.4042,8.6366,8.8855,7.9424,9.6023,15.7739,7.0233,8.4291,25.5583,10.9761,9.9176,8.1587,9.677
MEOX1,20.049,37.599,0.2054,48.581,8.8855,13.2374,0.2401,0,1.0033,10.3022,18.5878,5.488,12.2062,11.8672,3.7219
THSD7A,9.3562,4.6999,6.1617,3.2387,8.8855,2.118,15.6038,1.5774,3.01,6.5559,1.8588,2.744,5.3402,2.9668,2.9775
LIG3,5.3464,3.9166,3.0808,3.2387,4.4428,5.295,4.8012,5.258,5.0167,3.7463,13.9409,8.2321,6.1031,6.6753,6.6994
RPAP3,10.6928,14.8829,20.5389,11.8754,17.7711,18.5324,15.6038,13.1449,12.04,17.7947,27.8818,27.4402,19.0722,20.7676,19.3539
ACSM3,0.401,0.7833,0.3081,0.9716,5.9237,2.6475,19.2047,31.5478,2.0067,3.7463,0.9294,36.3582,4.5773,8.9004,0.5955
REXO5,2.6732,2.3499,2.0539,4.3183,1.0366,2.6475,1.0803,0.7887,1.0033,0.9366,0.4647,2.058,2.2887,261.0783,4.4663
CIAPIN1,25.3954,32.8991,28.7545,21.5916,16.2902,37.0648,34.8085,39.4347,17.0566,18.7313,39.4992,20.5801,13.732,70.4615,32.0084
SPPL2B,6.683,14.0996,5.1347,6.4775,4.4428,2.6475,7.2018,7.8869,5.0167,12.1753,9.2939,7.5461,5.3402,10.3838,6.6994
FAM214B,6.683,4.6999,12.3234,7.557,5.9237,13.2374,8.4021,5.258,12.04,6.5559,9.2939,2.744,6.1031,4.4502,3.7219
COPZ2,65.4934,21.1494,14.3773,113.3557,48.8705,37.0648,16.8041,73.6114,24.0799,11.2388,118.4975,12.3481,35.8558,30.4097,33.4972
PRKAR2B,221.8754,11.7497,103.7216,636.9511,44.4277,45.0072,30.0073,10.5159,32.1066,34.6528,2.3235,65.1704,41.9589,49.6939,23.0758
MSL3,12.0294,22.7161,13.3503,14.0345,14.8092,10.5899,10.8026,10.5159,13.0433,40.2722,27.8818,10.9761,10.6804,20.0259,11.9101
CREBBP,33.415,22.7161,12.3234,23.7507,20.7329,21.1799,13.2032,10.5159,15.05,21.5409,60.4105,28.1262,19.8351,27.4429,24.5646
TSPOAP1,0.2673,3.1333,13.3503,2.1592,1.3328,2.118,2.4006,0.5258,4.0133,4.6828,0.9294,7.5461,4.5773,0.7417,5.2107
MPO,72.1763,0.7833,3.0808,0.108,0.1481,0.2647,0,1.3145,41.1365,0.281,0.2323,0.0686,0.2289,0.2225,0.2978
PON1,0.1337,0.3133,1.0269,0.2159,0.1481,0.5295,0.6001,801.839,0.301,0,0,0.686,0.4577,0.2225,0
GCFC2,16.0392,14.8829,14.3773,19.4324,7.4046,21.1799,10.8026,23.6608,9.03,4.6828,32.5287,19.2081,9.1547,13.3506,19.3539
WDR54,8.0196,10.1831,17.4581,4.3183,7.4046,2.118,7.2018,2.629,16.0533,9.3656,0.9294,12.3481,7.6289,17.8008,5.2107
CROT,5.3464,6.2665,6.1617,7.557,8.8855,10.5899,25.2062,31.5478,4.0133,5.6194,11.6174,19.2081,30.5156,8.1587,23.8202
ABCB4,0.802,2.3499,0.2054,0.7557,1.4809,5.295,0.2401,115.6751,0.301,1.8731,1.1617,0.1372,0.6866,0.445,0.6699
KMT2E,60.147,39.9489,51.3473,33.4669,44.4277,37.0648,26.4065,15.7739,48.1599,43.0819,51.1166,49.3923,45.7734,28.9263,41.6854
RHBDD2,64.1568,56.3985,135.5569,47.5014,31.0994,23.8273,72.0176,131.449,93.3097,37.4625,72.0279,58.3104,48.062,60.8194,79.6489
SOX8,1.3366,5.4832,39.024,1.0796,1.4809,0.7942,0.2401,0.2629,0.8027,3.7463,0.4647,0.4802,1.5258,3.7085,0.3722
IBTK,21.3856,18.7995,25.6737,24.8303,19.252,39.7122,37.2091,78.8694,20.0666,10.3022,27.8818,34.3002,22.1238,14.834,31.264
ZNF195,5.3464,19.5828,13.3503,9.7162,8.8855,10.5899,13.2032,10.5159,4.0133,9.3656,11.6174,10.9761,10.6804,5.9336,9.677
MYCBP2,53.464,21.1494,45.1856,30.2282,20.7329,26.4748,13.2032,13.1449,15.05,37.4625,11.6174,19.8941,17.5465,20.0259,14.8876
FBXL3,54.8006,42.2989,45.1856,47.5014,48.8705,47.6547,43.2106,31.5478,34.1132,47.7647,55.7635,36.3582,38.9074,51.919,63.2725
ITGAL,2.6732,51.6986,0.9243,3.2387,1.1847,1.5885,1.2003,7.8869,35.1166,54.3206,0.697,4.116,2.2887,1.4834,1.4888
PDK2,13.366,6.2665,17.4581,16.1937,11.8474,52.9496,12.0029,15.7739,4.0133,4.6828,85.9688,10.2901,16.0207,8.1587,13.3989
ITGA3,16.0392,14.8829,5.1347,9.7162,11.8474,7.9424,34.8085,1.5774,60.1998,10.3022,9.2939,14.4061,16.7836,6.6753,29.7753
ZFX,28.0686,18.0162,15.4042,32.3873,20.7329,21.1799,19.2047,13.1449,11.0366,31.8431,51.1166,37.7303,19.8351,13.3506,25.309
LAMP2,126.9769,62.665,425.1559,119.8332,100.7028,90.0144,135.6331,226.0923,137.4563,84.2906,267.2002,86.4366,87.7323,64.5279,131.7556
ITGA2B,2.6732,0.6267,0.9243,0.6477,0.5924,0.5295,0.6001,0.7887,6.02,1.8731,0.697,0.4116,0.534,0.7417,1.4888
ASB4,0.6683,0.7833,2.0539,3.2387,0.2962,10.5899,0.9602,1.8403,0.7023,0.281,25.5583,0.686,0.3052,0.7417,2.9775
GDE1,53.464,33.6824,68.8054,82.0479,66.6415,140.3166,52.8129,60.4665,49.1632,36.5259,53.44,32.9282,53.4022,36.3433,50.618
REX1BD,8.0196,11.7497,7.1886,8.6366,8.8855,7.9424,7.2018,13.1449,8.0266,13.1119,11.6174,6.174,12.2062,3.7085,5.9551
CRLF1,36.0882,3.1333,5.1347,2.1592,8.8855,5.295,2.4006,1.0516,4.0133,8.4291,16.2644,1.372,2.2887,6.6753,11.1657
OSBPL7,1.3366,5.4832,2.0539,2.1592,1.4809,1.3237,2.4006,0.5258,2.0067,10.3022,0.697,4.116,3.8144,1.4834,3.7219
TMEM98,8.0196,7.8331,20.5389,9.7162,25.1757,5.295,9.6023,7.8869,22.0733,11.2388,1.8588,61.0544,25.1753,19.2842,23.0758
YBX2,1.3366,1.5666,0.5135,4.3183,2.9618,0.7942,1.2003,0.5258,0.2007,0.7493,4.647,0.2058,1.5258,136.4727,1.4888
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7417,0
MAP3K14,2.6732,21.1494,3.0808,3.2387,7.4046,2.6475,6.0015,5.258,14.0466,17.7947,65.0574,5.488,8.3918,7.417,5.2107
ABCC8,0.1337,1.5666,7.1886,0.2159,0.5924,0.7942,0.12,0.2629,1.0033,0.1873,0,0.0686,1.5258,0.3708,2.2331
CACNG3,0,0,44.1587,0,0,0,0,0,0,0,0,0,0,0.3708,0
TMEM132A,4.0098,3.9166,26.7006,3.2387,2.9618,1.8532,2.4006,0.5258,3.01,2.8097,0.2323,6.86,0.7629,3.7085,1.4888
AP2B1,136.3331,53.2653,184.8504,65.8543,94.7791,103.2518,106.8261,47.3216,93.3097,78.6713,97.5862,114.5628,87.7323,117.1885,109.4242
TAC1,0.401,0.3133,12.3234,0.8637,17.7711,2.118,0.7202,0.2629,0.8027,0.8429,0,0.1372,2.2887,0.7417,5.9551
ZNF263,6.683,11.7497,9.2425,7.557,10.3665,7.9424,10.8026,10.5159,14.0466,17.7947,9.2939,15.0921,16.0207,9.6421,10.4213
CX3CL1,45.4444,15.6663,30.8084,43.1831,10.3665,18.5324,18.0044,5.258,325.079,12.1753,34.8522,8.2321,57.2167,20.7676,8.1882
SPATA20,10.6928,21.1494,16.4311,16.1937,10.3665,29.1223,12.0029,13.1449,11.0366,14.985,16.2644,17.8361,11.4433,39.3101,27.5421
CACNA1G,0.1337,0.1567,3.0808,0.2159,0.1481,0.2647,0,0.2629,0.4013,0.281,0,8.2321,0.1526,0.445,0.1489
TNFRSF12A,4.0098,10.9664,3.0808,10.7958,4.4428,13.2374,18.0044,15.7739,69.2298,4.6828,16.2644,4.802,4.5773,4.4502,41.6854
DLX6,0.2673,0.5483,2.0539,0,0.1481,0,0,0,0,0.7493,0.4647,0.0686,0.4577,2.9668,0.0744
MAP3K9,0.2673,1.5666,16.4311,0.8637,0.5924,1.5885,3.6009,2.629,4.0133,7.4925,0.9294,1.372,0.7629,5.1919,3.7219
RALA,65.4934,46.9988,49.2934,88.5254,72.5652,50.3022,46.8114,34.1767,126.4196,48.7013,39.4992,64.4844,45.7734,49.6939,39.4522
BAIAP2L1,6.683,3.1333,1.0269,5.3979,8.8855,2.6475,8.4021,18.4029,22.0733,2.8097,4.647,4.116,8.3918,15.5757,13.3989
KDM7A,36.0882,14.0996,8.2156,16.1937,22.2138,18.5324,9.6023,15.7739,25.0833,17.7947,137.0853,6.86,16.7836,15.5757,14.8876
ETV1,2.6732,3.1333,18.485,5.3979,11.8474,23.8273,1.2003,5.258,27.0899,4.6828,1.1617,0.686,3.8144,9.6421,6.6994
AGK,8.0196,14.0996,18.485,8.6366,5.9237,23.8273,13.2032,13.1449,7.0233,12.1753,6.9704,9.6041,10.6804,5.9336,9.677
ALDH3B1,6.683,4.6999,2.0539,5.3979,4.4428,2.3827,6.0015,2.629,30.0999,1.8731,2.3235,6.174,5.3402,1.4834,1.4888
TTC22,0.2673,0.7833,0.3081,0.9716,1.4809,0.5295,7.2018,2.1032,2.0067,1.8731,0,0.686,2.2887,0.5192,2.9775
PHTF2,9.3562,13.3163,10.2695,14.0345,7.4046,29.1223,9.6023,5.258,11.0366,14.985,83.6453,10.9761,9.9176,14.0923,18.6096
CCL26,0.401,0.3917,0.2054,0.6477,0.4443,1.3237,0.7202,0.7887,2.0067,3.7463,1.8588,5.488,0.7629,1.4834,0.2978
FARP2,6.683,5.4832,5.1347,4.3183,4.4428,5.295,4.8012,5.258,6.02,4.6828,6.9704,6.86,6.1031,8.1587,2.9775
USH1C,0,1.5666,19.512,0.108,7.4046,0,27.6067,0.5258,0.2007,0.0937,0,0.4802,0.2289,1.4834,0.2233
GGCT,118.9573,44.6488,53.4012,49.6606,75.5271,29.1223,60.0147,63.0955,36.1199,32.7797,11.6174,49.3923,42.7218,43.0186,63.2725
DBF4,4.0098,9.3998,3.0808,3.2387,2.9618,2.3827,3.6009,2.629,7.0233,8.4291,1.6264,8.2321,3.0516,65.2696,4.4663
TBXA2R,4.0098,10.1831,1.0269,3.2387,2.9618,5.295,4.8012,10.5159,9.03,6.5559,1.3941,4.116,3.0516,4.4502,1.4888
IFRD1,20.049,10.9664,14.3773,23.7507,16.2902,21.1799,19.2047,15.7739,42.1399,18.7313,41.8226,24.6962,21.3609,12.6089,33.4972
LGALS14,0,0.3133,0,0,0,0,0,0,0,0,0,0,0,0,0
COX10,10.6928,8.6164,9.2425,14.0345,13.3283,68.8345,19.2047,18.4029,6.02,9.3656,118.4975,8.9181,12.9691,25.9595,18.6096
GTF2IRD1,4.0098,3.1333,6.1617,5.3979,7.4046,7.9424,7.2018,1.8403,10.0333,1.8731,102.2331,8.2321,9.9176,4.4502,18.6096
PAF1,66.83,50.132,66.7515,52.8993,59.2369,50.3022,44.4109,63.0955,57.1898,51.511,78.9983,66.5424,57.2167,86.0372,64.7612
VPS41,24.0588,18.7995,57.509,29.1486,25.1757,23.8273,31.2076,21.0318,14.0466,24.3506,6.9704,26.7542,26.7011,17.0591,29.7753
ARHGAP44,2.6732,3.1333,26.7006,2.1592,5.9237,5.295,3.6009,1.3145,14.0466,4.6828,1.6264,6.86,5.3402,5.1919,8.1882
ELAC2,21.3856,25.066,13.3503,19.4324,13.3283,39.7122,22.8056,36.8057,11.0366,17.7947,60.4105,17.8361,22.1238,15.5757,17.8652
SCIN,0.401,0.5483,3.0808,14.0345,1.3328,0.2647,38.4094,0.2629,2.0067,0.9366,0.2323,2.058,3.0516,1.4834,1.4888
ARSD,33.415,10.9664,5.1347,19.4324,8.8855,5.295,60.0147,42.0637,10.0333,4.6828,1.3941,30.8702,22.8867,8.1587,31.264
PNPLA4,8.0196,7.8331,20.5389,28.069,8.8855,26.4748,27.6067,21.0318,4.0133,5.6194,18.5878,21.9521,9.1547,11.1255,29.0309
MYH13,0,0.1567,0.1027,0.4318,0.1481,0,0,0,0,0.0937,0,0.0686,0.1526,0.5934,0.1489
ADIPOR2,196.4801,32.8991,88.3174,163.0163,68.1225,58.2446,43.2106,186.6576,72.2398,44.955,53.44,45.9623,31.2785,44.502,66.9944
CDKL3,1.3366,1.5666,5.1347,2.1592,1.4809,1.8532,1.2003,0.5258,2.0067,0.281,4.647,2.058,1.5258,9.6421,2.9775
UPP2,0.1337,0,4.1078,0.108,0,0,15.6038,23.6608,0.602,0,0.2323,0.686,0,0.0742,0.2978
PRSS21,0.1337,0.47,0.3081,1.0796,0.7405,0,0.12,0.7887,8.0266,2.8097,0,0.2058,0.7629,33.3765,0
MARK4,18.7124,7.8331,21.5659,10.7958,14.8092,10.5899,6.0015,10.5159,16.0533,10.3022,58.087,13.0341,14.4949,22.251,11.1657
PROM1,0.1337,0.5483,2.0539,18.3528,5.9237,2.6475,24.0059,2.1032,13.0433,0,0.2323,3.43,2.2887,6.6753,0.7444
CCDC124,73.5129,39.9489,33.8892,48.581,72.5652,42.3597,28.807,39.4347,34.1132,29.0334,137.0853,27.4402,38.1445,27.4429,34.986
CEACAM21,2.6732,10.1831,2.0539,0.6477,0.1481,0.2647,0.3601,0.7887,6.02,7.4925,0,0.686,1.5258,0.6675,0.3722
PAFAH1B1,69.5032,57.9651,196.1468,75.5705,75.5271,127.0792,69.617,44.6927,55.1832,51.511,160.3201,76.8325,59.5054,79.3619,114.6348
NOS2,0.401,9.3998,3.0808,0.5398,0.4443,0.2647,1.0803,0,11.0366,0.9366,0.4647,0.5488,0.2289,0.5192,0.1489
DNAH9,0.5346,0.235,2.0539,0.3239,0,0,0.6001,0,8.0266,0.281,0,7.5461,0.3052,2.2251,0.2233
KIAA0100,49.4542,39.1656,30.8084,57.2176,37.0231,58.2446,60.0147,68.3535,32.1066,50.5744,99.9096,42.5323,28.2269,23.7344,46.8961
SLC13A2,0,0,0,5.3979,0.4443,0,7.2018,0.2629,0.1003,0,0,0,1.5258,0.5192,0
GAS7,28.0686,21.9328,262.8983,23.7507,42.9468,42.3597,4.8012,2.629,19.0633,22.4775,6.9704,21.2661,18.3093,18.5425,8.1882
TRAPPC6A,25.3954,43.8655,19.512,28.069,26.6566,10.5899,26.4065,42.0637,19.0633,14.985,20.9113,16.4641,21.3609,22.9927,31.264
MATK,0.6683,3.9166,14.3773,3.2387,0.5924,0.2647,0.6001,1.0516,5.0167,4.6828,0.697,1.372,0.7629,2.2251,0.2233
CEACAM7,0,0.3917,0,0,14.8092,0,0,0,0.2007,0,0,0.0686,0.0763,0.0742,0
CD79B,5.3464,138.6463,0.2054,3.2387,8.8855,7.9424,1.2003,2.629,6.02,90.8466,2.3235,1.372,5.3402,1.4834,1.4888
SCN4A,38.7614,1.5666,0.1027,11.8754,4.4428,2.6475,0.2401,0.2629,0.2007,1.8731,155.6731,0.5488,0.7629,1.4834,8.9326
ST7L,4.0098,3.1333,5.1347,5.3979,2.9618,5.295,3.6009,5.258,3.01,3.7463,6.9704,5.488,6.1031,11.8672,6.6994
TKTL1,0.9356,2.3499,0.3081,0.3239,0.2962,13.2374,0.2401,0,0.7023,0.5619,0.2323,0.6174,0.3814,181.7164,0.5955
