gene_symbol,adipose tissue,adrenal gland,brain,breast,colon,heart,kidney,liver,lung,lymph nodes,muscle,ovary,prostate,testis,thyroid gland
RAB35,50.7908,31.3325,21.5659,26.9895,28.1375,21.1799,25.2062,26.2898,30.0999,31.8431,32.5287,27.4402,29.7527,17.8008,22.3315
PHC1,13.366,10.9664,8.2156,9.7162,14.8092,13.2374,9.6023,1.5774,14.0466,18.7313,18.5878,22.6382,15.2578,31.1514,13.3989
COX6A1,114.9475,108.8804,252.6288,106.8782,180.6726,76.777,246.0601,491.6193,190.6328,150.7866,32.5287,59.6824,147.2376,103.8379,96.0253
AL021546.1,0,0,0.2054,0,0,0.2647,0,0,0,0,0,0,0,0.0742,0.0744
RFX4,0.1337,0.3917,32.8623,0.108,0.2962,0.2647,0.12,0,0.1003,0.1873,0,0.0686,0.0763,36.3433,0.1489
RIC8B,6.683,5.4832,12.3234,10.7958,11.8474,26.4748,13.2032,5.258,4.0133,8.4291,11.6174,9.6041,14.4949,8.9004,9.677
SRSF9,57.4738,55.6152,32.8623,39.9444,47.3895,15.8849,45.6111,47.3216,42.1399,44.955,16.2644,50.0783,27.464,48.9522,58.0618
FGFR1OP2,24.0588,27.4159,57.509,22.6711,29.6185,29.1223,33.6082,18.4029,35.1166,46.8281,25.5583,45.9623,28.9898,31.1514,23.0758
KLRB1,2.6732,59.5318,0,3.2387,11.8474,2.6475,2.4006,15.7739,72.2398,121.7532,0,6.174,5.3402,1.4834,1.4888
COL12A1,248.6074,46.9988,3.0808,85.2867,102.1837,23.8273,18.0044,2.629,24.0799,63.6863,20.9113,142.6889,30.5156,22.251,10.4213
BTN3A3,8.0196,14.8829,5.1347,17.2732,8.8855,10.5899,6.0015,7.8869,27.0899,27.1603,4.647,9.6041,14.4949,6.6753,5.2107
TDP2,49.4542,36.0324,55.4551,50.7402,131.8022,50.3022,80.4197,63.0955,46.1532,60.8766,25.5583,41.8463,75.526,60.0777,55.0843
FRK,1.3366,3.9166,4.1078,5.3979,2.9618,13.2374,26.4065,21.0318,5.0167,2.8097,6.9704,3.43,3.8144,5.9336,2.2331
DSE,32.0784,10.9664,7.1886,17.2732,19.252,10.5899,10.8026,5.258,18.0599,23.4141,4.647,20.5801,10.6804,8.9004,6.6994
RWDD1,33.415,28.9826,41.0779,37.7852,62.1988,63.5396,30.0073,34.1767,36.1199,35.5894,81.3218,32.9282,40.4331,28.9263,30.5197
RSPH4A,0.1337,3.9166,3.0808,1.0796,0.2962,0.2647,1.2003,0.2629,19.0633,0.7493,0.697,18.5221,0.3814,6.6753,1.4888
MAK,1.3366,1.5666,2.0539,1.0796,1.0366,0.5295,1.2003,0.5258,5.0167,0.3746,0,4.116,1.5258,10.3838,0.7444
TMEM14C,134.9965,109.6638,129.3953,198.6424,177.7108,232.9785,163.2399,231.3503,167.5562,140.4844,134.7618,131.0269,220.475,127.5723,155.5758
PAK1IP1,18.7124,33.6824,23.6198,24.8303,23.6948,21.1799,26.4065,44.6927,13.0433,15.9216,23.2348,37.0442,22.1238,23.7344,32.0084
GCNT2,0.802,2.3499,1.0269,3.2387,4.4428,18.5324,13.2032,13.1449,7.0233,2.8097,1.6264,0.686,2.2887,4.4502,2.2331
SMIM8,2.6732,2.3499,6.1617,3.2387,4.4428,5.295,3.6009,2.629,2.0067,3.7463,4.647,4.116,5.3402,3.7085,2.9775
NEDD9,116.2841,25.066,8.2156,26.9895,28.1375,29.1223,46.8114,13.1449,129.4296,18.7313,25.5583,4.802,28.2269,15.5757,23.0758
CEP85L,5.3464,7.0498,7.1886,4.3183,4.4428,18.5324,2.4006,2.3661,8.0266,10.3022,20.9113,11.6621,9.9176,21.5093,5.2107
ADTRP,0.5346,5.4832,2.0539,1.0796,1.4809,0.2647,3.6009,0.2629,5.0167,5.6194,0,0.343,5.3402,5.9336,2.2331
ASF1A,17.3758,25.8493,33.8892,28.069,28.1375,39.7122,32.4079,34.1767,21.0699,27.1603,25.5583,39.1023,31.2785,32.6348,54.3399
MCM9,4.0098,3.1333,2.0539,2.1592,1.4809,1.5885,4.8012,5.258,2.0067,3.7463,2.0911,2.744,4.5773,2.2251,4.4663
FAM184A,2.6732,1.5666,10.2695,4.3183,2.9618,0.5295,3.6009,2.629,4.0133,1.8731,0.2323,2.744,3.8144,11.1255,4.4663
RNGTT,12.0294,16.4496,15.4042,15.1141,14.8092,13.2374,14.4035,21.0318,12.04,36.5259,11.6174,15.0921,17.5465,20.0259,12.6545
MAN1A1,173.7579,79.8979,15.4042,202.9607,149.5732,58.2446,177.6434,467.9585,125.4163,145.1672,44.1461,57.6244,108.3303,43.7603,89.3258
GABRR2,0.1337,1.5666,0,0.5398,0.2962,0.5295,0.6001,0.5258,1.0033,7.4925,0.4647,0.4116,0.3814,0.2967,0.3722
SERINC1,565.3814,267.1096,1283.6832,654.2243,630.8733,463.3094,414.1012,478.4744,646.1447,365.2595,708.6614,239.4156,431.0324,203.9674,512.8792
HDDC2,18.7124,19.5828,42.1048,26.9895,20.7329,37.0648,24.0059,7.8869,16.0533,14.0484,30.2052,19.8941,17.5465,26.7012,27.5421
TPD52L1,21.3856,9.3998,26.7006,10.7958,16.2902,23.8273,16.8041,36.8057,4.0133,12.1753,20.9113,11.6621,28.2269,10.3838,25.309
HINT3,30.7418,22.7161,84.2096,56.1381,62.1988,74.1295,50.4123,39.4347,38.1266,20.6044,125.4679,37.0442,57.9796,35.6016,43.1742
NCOA7,37.4248,21.9328,88.3174,29.1486,42.9468,13.2374,52.8129,34.1767,93.3097,34.6528,13.9409,23.3242,24.4125,15.5757,11.1657
RIPOR2,10.6928,52.4819,10.2695,3.2387,4.4428,2.6475,3.6009,2.629,25.0833,43.0819,37.1757,3.43,3.8144,5.1919,5.2107
SASH1,192.4703,25.8493,52.3743,75.5705,59.2369,39.7122,50.4123,10.5159,79.2631,31.8431,25.5583,10.2901,28.2269,18.5425,64.7612
UST,8.0196,5.4832,11.2964,8.6366,23.6948,10.5899,8.4021,2.629,20.0666,16.8581,4.647,23.3242,25.9382,14.834,45.4073
ULBP1,29.4052,1.5666,1.0269,1.0796,2.9618,1.059,1.2003,0.5258,10.0333,0.9366,0,2.744,0.7629,5.1919,2.2331
FBXO5,2.6732,7.8331,3.0808,4.3183,4.4428,5.295,4.8012,5.258,4.0133,12.1753,2.3235,8.2321,3.8144,5.1919,4.4663
MTRF1L,18.7124,15.6663,17.4581,18.3528,22.2138,39.7122,25.2062,21.0318,16.0533,15.9216,27.8818,14.4061,13.732,14.834,23.0758
PPARD,29.4052,29.7659,23.6198,16.1937,22.2138,15.8849,18.0044,28.9188,43.1432,23.4141,44.1461,26.0682,19.0722,16.3174,38.7079
OPRM1,0,0.1567,0.2054,0,0,0,0,0,0,0.281,0,0.0686,0.0763,0.5192,0
FANCE,8.0196,5.4832,2.0539,6.4775,5.9237,5.295,2.4006,5.258,8.0266,15.9216,132.4384,7.5461,9.1547,13.3506,6.6994
TULP1,0.1337,0.0783,0.1027,0.108,0.1481,0,0.12,0,0,0.1873,0.4647,0.4116,0.534,0.445,0.2233
SLC26A8,0.401,0.5483,0.8216,0.3239,0.2962,0.2647,0.2401,0.2629,0.7023,0.3746,0,0.2744,0.1526,32.6348,0.2233
MAPK14,36.0882,28.1993,17.4581,26.9895,42.9468,29.1223,31.2076,49.9506,29.0966,41.2088,34.8522,23.3242,54.1651,17.8008,29.7753
RHAG,0.6683,0.1567,0,0.108,1.4809,1.5885,0.12,0.2629,8.0266,0.7493,0,0,0.7629,0.2225,0.0744
KCTD20,84.2057,44.6488,42.1048,73.4113,48.8705,47.6547,30.0073,65.7245,60.1998,48.7013,37.1757,56.9384,38.1445,31.1514,30.5197
STK38,57.4738,40.7323,5.1347,64.7747,51.8323,50.3022,54.0132,52.5796,47.1565,87.1003,30.2052,40.4743,49.5878,34.1182,16.3764
SRSF3,118.9573,128.4633,81.1288,103.6395,79.9699,92.6619,99.6243,97.2723,91.3031,133.9285,67.3809,169.4431,163.2583,94.9376,132.5
SOD2,491.8685,120.6301,103.7216,115.5149,250.276,259.4533,637.3557,231.3503,379.2589,200.4244,6735.7681,64.4844,165.547,63.7862,421.3202
MRPL18,52.1274,59.5318,65.7246,70.1726,119.9548,82.072,90.022,141.9649,59.1965,104.895,67.3809,80.2625,93.0725,92.7125,139.1994
IL17A,0,0,0,0,0,0,0,0,0.301,0.7493,0,0,0,0,0
IL17F,0,0,0,0,0.1481,0,0,0,0,0.1873,0,0,0,0.3708,0
MCM3,41.4346,50.9153,17.4581,30.2282,32.5803,31.7698,36.0088,23.6608,31.1032,36.5259,16.2644,41.1603,36.6187,42.2769,29.0309
RNF8,6.683,7.8331,12.3234,7.557,10.3665,13.2374,8.4021,5.258,8.0266,9.3656,6.9704,10.2901,7.6289,14.834,8.9326
PHACTR1,2.6732,5.4832,37.997,2.1592,1.4809,45.0072,2.4006,0.5258,11.0366,6.5559,0.4647,2.058,5.3402,2.2251,0.6699
MDGA1,0.9356,0.705,2.0539,0.5398,1.4809,1.059,0.2401,0.2629,0.7023,0.9366,0.4647,2.744,0.7629,1.4834,0.6699
ICK,18.7124,11.7497,22.5928,23.7507,23.6948,15.8849,8.4021,18.4029,13.0433,14.0484,11.6174,10.2901,21.3609,11.1255,11.1657
FBXO9,10.6928,18.7995,31.8353,28.069,8.8855,21.1799,27.6067,42.0637,10.0333,18.7313,4.647,20.5801,18.3093,16.3174,25.309
CD83,2.6732,53.2653,33.8892,28.069,4.4428,1.5885,42.0103,2.629,94.3131,24.3506,2.3235,31.5562,15.2578,14.0923,2.9775
MDN1,6.683,12.533,11.2964,6.4775,7.4046,13.2374,8.4021,10.5159,5.0167,10.3022,11.6174,13.7201,5.3402,11.1255,12.6545
GLP1R,0.401,0.705,0.2054,0.4318,0.1481,5.295,0.12,0,0.8027,0.1873,0,0,0.1526,0.1483,0.2233
SAYSD1,30.7418,13.3163,6.1617,17.2732,11.8474,15.8849,18.0044,15.7739,10.0333,16.8581,13.9409,15.0921,13.732,46.7271,10.4213
BMP5,1.3366,0.3917,0.8216,3.2387,4.4428,10.5899,2.4006,2.629,43.1432,0.8429,4.647,0.1372,9.9176,0.2225,2.2331
BACH2,1.3366,9.3998,3.0808,3.2387,1.4809,2.118,0.4801,5.258,8.0266,7.4925,9.2939,1.372,1.5258,1.4834,2.2331
RBM24,4.0098,10.1831,8.2156,18.3528,14.8092,235.6259,1.2003,0.5258,5.0167,6.5559,499.5482,4.116,35.0929,17.8008,50.618
CAP2,5.3464,16.4496,171.5001,74.4909,84.4126,177.3813,19.2047,5.258,11.0366,13.1119,1452.1749,13.0341,57.2167,23.7344,77.4157
TREML2,0.2673,2.3499,0.2054,0,0,0,0.12,0.5258,0.7023,1.8731,0,0.0686,0.0763,0.7417,0.1489
ZNF451,10.6928,12.533,15.4042,10.7958,8.8855,10.5899,9.6023,7.8869,10.0333,7.4925,6.9704,11.6621,8.3918,16.3174,11.1657
BAG2,4.0098,5.4832,2.0539,4.3183,59.2369,21.1799,7.2018,10.5159,18.0599,11.2388,18.5878,24.0102,67.1343,18.5425,8.1882
RAB23,8.0196,6.2665,7.1886,7.557,68.1225,7.9424,8.4021,1.8403,11.0366,9.3656,11.6174,16.4641,66.3714,14.0923,12.6545
TSPO2,0.2673,0.7833,0.9243,0.5398,0,1.3237,0.12,1.3145,3.01,0,0.4647,0.0686,0.1526,0.5192,0.2978
FHL5,84.2057,31.3325,9.2425,12.9549,122.9166,29.1223,20.405,0.7887,55.1832,85.2272,41.8226,8.2321,26.7011,120.1553,26.0534
GPR63,0.9356,0.5483,5.1347,0.4318,1.4809,1.5885,1.0803,0.2629,0.903,1.8731,0.2323,2.058,1.5258,4.4502,0.6699
KHDRBS2,0.1337,1.5666,8.2156,0.108,0,0.2647,0.3601,0,6.02,0.6556,0,0,0.3052,0.1483,3.7219
FBXL4,13.366,7.8331,6.1617,17.2732,13.3283,18.5324,19.2047,15.7739,10.0333,13.1119,20.9113,13.0341,15.2578,8.9004,11.9101
