gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,pancreas,placenta,prostate,salivary gland,skin,small intestine,spleen,stomach,testis,thymus gland,thyroid gland,trachea,urinary bladder,uterus
RFC2,23.9816,44.5616,20.7587875,22.5546,26.792,18.2185,25.6089,47.0742,27.6059,27.9365,12.3436,23.5566,22.2005,28.0694,15.7065,21.5462,20.7502,29.9113,34.5044,14.8661,15.0529,28.9637,27.2488,20.6888,24.2905
HSPA6,25.2983,98.8143,29.4352,32.4637,21.9402,19.304,6.0503,52.2366,80.1334,22.7946,24.1996,28.5158,71.6501,59.2649,13.1654,69.9465,15.2328,57.3773,20.7503,15.0961,57.2249,64.4049,63.2876,28.382,59.3607
PAX8,60.038,52.4448,41.608975,41.5662,45.0399,57.4792,243.0521,50.5911,39.2879,63.2748,42.8598,88.5585,36.9335,41.2738,64.1508,40.6582,46.3957,50.2722,44.2916,42.7579,46.8835,295.4358,49.4068,42.3278,137.4769
GUCA1A,20.7317,19.3822,34.4499625,13.1641,7.2931,15.3434,18.5702,11.6798,12.5933,9.858,15.1781,11.1879,17.7345,10.9087,19.302,17.997,34.4538,11.392,12.1763,78.0684,17.2929,15.8545,19.8946,20.2904,12.6683
THRA,20.0313,23.1884,48.2431375,15.3821,15.5168,22.5604,19.4388,14.3901,14.8966,11.3809,18.8202,9.5053,8.3495,12.0809,22.3974,13.9139,16.3423,12.6445,15.0343,15.4411,11.3494,13.5719,14.7085,16.4285,11.5206
PTPN21,10.9402,8.6078,5.2433,13.5241,19.1633,12.3217,9.7194,8.776,5.8493,13.346,9.6615,9.3872,15.5663,14.0673,9.259,17.2746,15.4277,8.9317,13.8137,37.3664,5.6598,18.8619,8.746,15.9687,7.3366
CCL5,25.4104,303.9381,16.0938875,36.9573,39.8524,19.5093,16.6832,49.1069,102.2381,16.0152,14.5076,34.2131,24.9513,12.895,54.4457,17.3374,186.6022,99.4261,55.344,19.2655,70.6352,175.0468,148.0519,63.8136,64.0968
CYP2E1,14.6383,9.0616,18.5257625,14.6187,14.6319,10.9135,7.3981,2329.4978,10.1078,12.822,11.5664,14.376,5.5663,10.1271,9.8673,17.1333,16.7321,7.366,16.7163,20.0562,8.7062,7.0944,8.8632,11.8616,10.5617
EPHB3,25.2703,26.5847,30.18295,140.1383,42.1105,14.522,17.9112,28.9415,19.586,13.7554,50.045,27.8959,23.851,24.6177,135.4654,138.197,31.6951,7.5449,142.6916,12.5657,17.0241,21.7459,72.2826,25.93,48.8135
ESRRA,56.7882,55.6873,48.908425,43.8418,111.7759,103.5608,90.0054,63.6583,49.6112,147.4119,45.5647,63.6441,53.9479,66.0055,92.509,73.8411,135.986,37.2177,77.7019,26.3678,51.819,36.6133,64.606,51.1551,50.3825
CYP2A6,67.8684,66.9595,51.4653,40.7596,54.9115,76.1451,52.8351,985.8813,39.3708,56.4462,45.4885,66.9355,47.1519,37.7733,76.6268,40.8937,67.948,55.3196,53.9299,43.448,35.7656,38.1247,60.3283,38.7111,45.1525
GAS6,204.9921,141.8534,227.8560125,245.1052,318.1174,344.2737,199.5395,131.8982,409.1511,298.1971,303.1653,190.4008,220.5167,309.4802,286.4212,297.783,285.8555,134.4668,260.9116,284.0653,239.9803,343.4002,250.2495,527.5194,322.3435
MMP14,54.5049,57.1805,32.932825,73.2665,55.6133,44.4167,46.6501,34.0716,31.5331,35.5511,76.119,52.3971,81.6501,34.2402,58.325,70.4176,57.438,42.5856,57.8596,34.5916,41.5598,47.5017,32.1126,45.071,87.9806
TRADD,26.7085,28.3219,25.996725,38.9449,35.3565,17.3873,41.3735,32.9961,49.7106,10.917,38.3414,30.6806,41.208,32.9539,52.0667,43.7414,48.1773,31.2931,68.334,13.5721,42.63,38.3921,65.026,39.8452,29.5012
CHURC1-FNTB,51.185,44.7665,54.2568875,46.3767,32.4678,47.6438,56.1598,33.3617,36.1893,33.2749,45.2904,28.7225,40.55,36.6987,33.8731,56.6293,44.9189,42.8839,38.7616,62.1672,29.7175,43.8311,42.1038,40.7034,33.6465
PLD1,22.1185,24.3595,14.98305,23.2172,26.67,26.0369,21.6552,34.4749,16.0565,16.5228,24.7634,25.5639,23.7377,10.1923,23.4787,37.9413,42.7749,30.8507,22.3877,20.0706,15.6801,16.9032,18.7812,16.9955,13.5835
BAD,53.5383,20.7876,54.95275,35.5747,41.6833,29.8948,42.8611,38.2014,37.1172,51.1897,59.2494,21.933,41.5208,43.3741,64.0967,45.3851,35.7432,40.8858,32.8968,43.218,35.1234,46.3296,44.1841,40.2436,46.1985
PRPF8,299.9939,171.688,232.8775625,228.0812,184.859,225.0174,181.6282,121.8316,214.9485,282.8369,369.2722,159.7005,104.336,236.0829,196.4263,183.6763,177.6364,207.7392,177.3151,288.5223,270.4147,202.4066,201.4654,242.3813,233.0264
CAPNS1,588.3331,715.3275,405.2973,536.8752,711.6675,790.172,823.3175,353.3634,697.0748,527.2897,459.7311,486.8357,406.8588,668.3261,530.0211,337.4518,676.3618,589.1013,334.4456,443.3363,478.2283,623.0741,562.9076,658.2423,567.8639
RPL35,1154.4216,879.2275,643.93145,1217.3741,988.6203,857.2958,857.2829,713.8895,1100.1944,1729.7067,1850.5672,1592.8136,1057.4703,1414.9341,1859.1018,1630.7241,752.9458,1204.8038,837.9299,637.774,1061.827,956.5113,975.859,1127.9249,1162.0523
EIF4G2,203.8714,203.777,310.4243125,343.3316,391.1089,398.0197,370.5647,310.8062,528.8873,562.0384,458.1768,366.5732,531.6154,487.6983,143.0889,530.425,291.0731,426.3335,422.984,327.0533,480.11,456.664,333.7247,388.6743,473.6945
EIF3D,217.8513,299.0486,145.4147625,433.9246,250.9542,193.2744,233.6247,232.8869,317.8163,282.5094,436.324,486.9538,273.2672,355.9153,365.6567,327.0871,276.8298,337.5836,199.1669,256.2598,357.0883,302.5303,269.7925,342.8524,310.0821
PARK7,1101.0234,584.6877,830.6598375,666.9028,478.2899,896.0211,814.0923,839.4639,709.8007,1609.2488,763.9022,824.775,803.6852,1104.477,1183.5858,609.8255,507.7212,579.2601,782.6157,575.4918,539.993,812.2172,689.3656,775.6936,454.8374
SRP14,684.3715,610.6869,627.17505,687.6426,645.023,661.029,714.5322,492.5535,746.0563,677.6819,759.6353,636.7948,753.6531,721.9251,491.6333,598.2672,424.0605,575.4429,734.7442,530.4624,850.489,714.5612,483.9154,642.5494,709.8299
GDI2,167.9271,234.2264,167.2240875,351.0803,349.3646,233.4666,327.7036,408.6651,346.9466,294.8237,387.041,476.4449,445.823,355.8501,180.3953,409.9738,442.6218,421.6813,301.6083,226.3551,304.1941,390.0382,229.5639,325.2286,344.2225
RPL11,1138.1724,1625.3558,747.167325,1676.9355,1080.2259,1133.5362,1262.8913,984.5907,1233.2199,1313.1151,1860.0764,2256.5302,1448.1479,1538.609,656.8087,1627.3948,1342.5285,1047.7618,1690.8048,471.9758,1939.6741,1085.5062,1623.5016,1460.8467,832.4448
ARF3,220.9891,183.7506,431.090675,124.7082,165.0243,125.8181,244.5472,94.5357,155.1854,63.7769,94.5836,129.0986,90.6576,117.7267,180.152,121.027,105.2505,148.175,145.3412,117.9508,136.412,202.7767,135.1111,137.19,135.8062
RPL24,1050.0345,1131.138,886.363975,1558.9774,1009.1263,1092.904,957.8014,848.0786,1556.1397,1656.3447,2314.8701,1988.9949,1638.8589,1537.0459,1380.823,1508.8281,917.0586,1294.8658,1048.4097,471.3144,1631.2688,1141.1202,1117.3477,1413.247,1264.0958
HNRNPC,242.3792,220.3046,174.478925,236.7084,167.3587,121.926,193.6988,187.1839,207.2931,169.7644,302.891,251.4176,314.6748,263.1266,145.5625,256.0413,168.6557,223.3957,171.3609,167.351,272.3112,228.9643,213.6248,256.9247,294.915
RPS27A,1040.3971,1142.3809,959.1687875,1767.4997,1649.0229,928.9376,1093.4236,922.3843,1623.8787,1322.0888,2352.6019,2234.1544,1477.0151,1687.4877,1550.9726,1883.3732,959.4287,1211.7821,1437.1573,554.2135,1871.3984,1508.7648,1496.8093,1490.8225,1141.9457
FAU,1514.7056,1830.0697,1085.074325,1561.7715,1337.161,885.2836,928.8679,1330.0169,1467.9863,1632.4365,2151.9953,1419.0618,1300.8995,1512.7538,1487.5517,1658.9288,1278.7785,1537.6159,885.9205,679.9856,1847.9828,1178.5972,1446.5894,1572.8422,1445.1126
TARDBP,52.3616,118.8406,109.364625,112.946,101.9807,99.6589,106.8983,120.6056,143.5641,109.2243,155.0419,110.2849,100.4202,184.5354,58.69,118.7552,80.2722,116.6632,119.7085,121.7464,179.918,119.7721,105.743,121.8036,160.0095
CFL1,2891.3491,3841.8405,2326.8529625,1170.018,3029.6371,1861.689,2339.3022,1816.311,2175.4672,1323.6609,2280.4908,2046.4103,1960.6372,1969.7451,2335.3259,1704.7223,2609.6724,2350.9181,2670.3248,1667.3563,3398.4318,1973.6027,1834.0499,1765.9381,2295.9787
RPL18,445.8818,395.3352,332.7164375,698.2622,535.0678,234.2489,338.7159,390.4248,532.9194,480.172,1035.0554,548.8464,482.4787,607.8238,488.4974,534.8641,423.2209,635.0469,534.1086,249.3971,708.701,513.6763,614.4753,540.8931,527.186
EIF3F,202.5827,370.3413,157.414275,307.8434,255.0432,195.416,196.4544,162.6465,249.8453,436.6024,470.6728,395.65,286.7623,281.6713,332.6486,327.5268,233.95,303.8551,204.3768,292.2604,419.5698,237.1075,194.785,293.2605,270.5664
RPS5,1530.2824,1246.5531,482.1738625,1602.0414,897.1368,696.8205,1083.8989,605.7381,808.6916,1353.2022,1939.0146,1488.3145,1336.1097,1422.2934,1775.8923,1539.1372,677.3814,1006.5479,1217.8653,471.9183,1262.1142,904.6913,1164.2566,1240.1044,933.791
RPL27,1819.9104,2221.462,1012.13725,1599.5642,1424.5556,1417.815,1271.5175,1207.2819,1653.8376,2795.7489,2267.69,2343.3175,2059.7306,1922.789,2106.9459,2201.9172,1255.4494,1675.4526,1623.3441,785.9745,1998.8702,1263.0515,1712.2214,1760.0533,1316.6865
RPL34,1374.9625,1278.7592,1062.9089375,2540.2335,1753.6278,1006.5642,898.7962,1226.0599,1806.681,1884.16,2800.8733,2298.9792,2078.6301,1958.1526,1932.2547,2457.0162,1336.3514,1526.4029,1877.5275,612.5276,3096.8959,1506.3588,2392.797,2182.6573,1506.3619
NARS,251.6385,140.5944,517.010225,288.3997,532.7284,461.4177,672.3599,343.9421,436.7902,325.6096,448.82,339.8876,399.8685,491.9641,232.1647,356.5481,495.6069,386.1933,594.7022,236.7067,271.0717,457.065,373.6896,368.905,336.2322
STARD7,569.3384,390.3969,400.850525,339.1548,350.1885,559.9325,304.1914,307.3539,596.9245,1180.4084,265.2201,146.5939,172.491,386.8503,565.0026,287.5753,248.763,294.2226,521.3469,107.0816,438.2665,483.9003,246.5871,224.1138,264.8133
RPL19,1119.738,2325.6343,920.9329375,1698.0211,1478.2617,1001.1074,1193.403,1441.5238,1676.1742,2082.172,2229.8972,2203.1589,1689.7001,1650.6913,2161.662,1964.1556,1283.0964,1643.5432,1132.5421,936.0153,2056.4535,1441.5221,1907.1236,1411.7451,1326.2749
SLC25A3,1365.7733,853.2283,981.9639125,824.6412,1275.9482,2121.5005,1308.7776,1203.8618,951.9243,1784.9247,989.2571,1065.1819,1026.9203,1040.1973,1034.6846,895.3906,1191.6395,847.2395,1217.2103,442.2437,978.4387,915.3638,866.5707,1018.3813,966.0428
RPL9,1899.5875,2318.5489,1351.4480625,2449.2084,1852.1908,1572.8922,1764.226,1720.2266,2251.9552,2432.5413,2950.7644,3271.4699,2578.9512,2399.3182,2949.4756,2762.3687,1968.0342,2072.9782,2123.4941,1049.2504,2447.8888,2033.1958,2308.648,2314.6368,1779.427
RPL6,513.4187,488.1864,631.3802375,1320.555,983.0056,845.0915,819.244,749.897,938.2705,1277.2856,1609.4247,1406.6045,982.5192,1229.3893,929.9023,1530.7197,714.0241,878.0157,1072.5836,477.3816,1320.1157,934.5495,912.8644,1165.1955,1106.0911
CTDNEP1,88.6982,126.5408,94.843275,68.9601,73.1136,68.8254,66.613,60.8513,108.6342,229.1254,95.0916,55.9099,48.4787,102.4437,60.339,95.8584,82.7011,70.2007,87.5858,57.1639,149.3344,95.1885,83.3286,58.1127,84.029
RPL10A,746.7348,852.35,345.9745875,1312.4895,748.7736,449.096,616.6494,449.7059,1112.9866,1057.134,1703.6629,1113.2397,1083.0365,1053.8739,909.3568,1325.1832,617.1097,975.2946,951.9522,236.6492,772.2976,801.5448,813.0693,1046.5182,846.7402
CBX3,67.4342,122.2955,96.5591,174.6184,106.1307,89.0975,99.1407,93.0515,141.5426,152.1607,171.2867,134.7861,283.0083,150.0184,41.01,135.5272,142.7029,133.5125,101.8163,173.4469,196.1357,117.2428,91.6791,146.4463,159.7771
RPL17-C18orf32,555.0503,798.6975,514.4998,1449.488,899.2576,628.5232,803.085,653.8771,1015.5207,606.989,1833.5604,1766.713,1292.8575,1216.771,803.0336,1302.7262,838.1058,1020.3107,982.7353,495.5832,1287.6653,931.7734,1001.6574,1236.1045,1167.1661
PSMB2,220.4288,269.9752,163.8421,112.2835,124.1344,193.5091,196.3047,187.7485,169.2479,265.6427,136.6027,123.7753,197.5718,157.9313,149.3067,160.3085,136.4658,148.9304,161.1198,102.5097,143.9882,181.3701,171.3159,156.4383,210.6536
KHDRBS1,187.2207,201.5909,191.9101,169.8943,160.4675,148.0949,154.8113,138.3942,159.2506,137.532,255.2233,170.1111,193.3755,163.8361,127.3464,152.5401,145.9114,172.1319,129.1459,177.1467,207.3159,185.2566,159.7815,183.7169,249.7044
ATP6V1G2-DDX39B,210.8754,264.5588,201.3924625,217.3656,172.47,173.0903,127.7448,265.442,268.7685,185.8942,201.0638,202.799,153.8503,262.8172,125.3278,219.6703,198.8365,206.5165,248.259,194.5527,234.6939,201.2961,157.3106,203.7008,315.254
RTCB,157.5612,185.4488,171.8449,175.4825,229.1666,219.0913,201.2168,154.8062,224.8906,219.3656,361.8356,154.5641,166.9247,210.7487,192.1549,267.8508,255.9596,178.9909,129.5031,201.2237,228.7802,107.2798,238.3245,225.7689,244.2419
ERH,587.9409,547.5628,437.416625,442.7967,395.9608,347.7648,463.0562,418.8608,580.6195,342.247,502.4004,348.035,577.1492,586.5275,649.5637,431.8655,290.5633,433.5504,480.3226,536.5583,472.5536,514.9307,389.2771,438.2969,592.1545
GATC,221.6428,279.4321,134.0083,161.6175,178.9188,85.0196,170.7258,147.7725,170.2311,66.7682,260.6281,188.3148,216.8489,138.0243,140.1062,154.5921,152.6482,174.6965,162.132,212.5913,201.243,197.5947,158.844,130.3448,200.271
ABCF1,158.2896,173.796,139.9960375,127.2623,115.3462,149.3271,160.1827,171.0676,175.3789,221.5272,181.4664,118.6094,128.9961,169.1981,104.2957,188.1991,176.6769,106.7027,159.6312,260.688,169.3452,126.4655,133.1969,116.6544,153.472
DAD1,428.6427,200.9663,217.8764125,192.4777,195.9664,242.9719,319.4668,269.0234,320.3349,191.2653,197.4979,270.93,167.5072,272.8141,454.5973,241.0909,182.9739,268.874,312.3556,228.2529,166.1793,249.9699,228.4798,186.8432,292.2419
YY1,131.9967,133.026,105.512875,135.3566,137.8509,87.748,130.755,99.811,87.9877,187.5481,154.4324,117.8566,168.8826,151.5652,127.9096,139.7517,115.2208,132.1407,105.2846,142.8809,193.6568,152.4989,112.0131,110.2639,135.9224
JTB,635.5679,691.4755,714.4432125,542.329,693.9485,438.0456,622.5799,583.1313,546.5733,942.5931,754.0274,966.7245,764.1816,693.2912,1736.225,546.7574,653.7725,537.1317,939.2103,349.2517,595.5056,704.7729,929.9169,490.2591,564.4354
KAT7,105.0035,115.4736,137.7076,103.5842,96.7321,135.7145,115.794,79.5003,79.0067,126.615,64.0039,79.9979,69.1906,107.9794,126.7877,112.6305,81.8615,108.7306,76.1538,340.6829,94.439,124.7382,84.2662,84.9622,66.305
ZNF146,24.654,18.5039,67.116275,140.2247,89.5916,71.5244,53.7936,66.0782,113.0087,77.9472,125.9354,144.0552,112.7502,141.9753,22.492,119.8545,77.2437,68.7692,88.5385,41.3489,151.0069,76.8047,46.7039,111.6278,138.1887
SART1,41.4635,32.2061,45.8533125,53.0596,49.312,58.4987,41.7529,36.7173,51.7653,77.3577,70.5872,46.8179,26.2782,68.5129,64.9347,49.374,47.0179,45.2696,41.5005,30.3072,63.5567,45.0958,36.9177,61.1164,44.2808
ILF2,120.9165,141.4142,87.689825,148.2326,97.3424,104.1476,198.1617,80.5328,164.1112,205.2172,214.9923,186.7994,191.1317,182.8095,100.8354,187.571,100.2728,120.9575,129.7413,271.4996,190.252,184.5163,98.2715,106.9077,158.3534
SPAG7,206.0847,161.1478,177.652825,135.0974,148.9125,445.9276,193.3095,103.7634,216.8707,469.9756,68.027,202.5038,207.6365,190.2339,227.4608,137.6316,151.7886,145.829,190.9501,170.974,185.7122,189.2665,146.9678,148.1627,136.6778
ZPR1,58.329,64.178,43.482075,39.9243,44.7348,43.4193,47.4438,49.8168,46.5954,56.2661,67.9661,71.083,49.7732,96.4521,45.3083,51.1957,45.6985,43.8382,57.4577,98.2828,55.7316,48.0569,41.2541,53.6377,49.3946
TAF10,509.4404,348.0019,344.037875,229.6367,268.8359,354.6298,301.7952,266.1195,285.405,409.8449,222.8556,442.8517,194.9505,272.749,443.5676,128.4604,262.8564,356.6696,338.4944,587.6837,287.1401,267.5517,216.7599,198.7355,294.4501
C1D,44.2651,43.8003,55.636425,39.4058,47.6642,32.2124,47.7433,62.6581,65.5517,74.8686,43.6446,51.2459,132.3618,75.6768,38.3877,46.7985,26.9873,48.3711,50.67,34.2753,50.8931,82.6036,37.4451,51.6761,38.2373
NONO,324.984,327.8194,201.0521875,315.4192,242.1659,153.9233,230.7294,236.1133,233.5513,150.1083,384.2268,412.2694,222.48,247.7839,289.0074,271.4104,324.6473,274.4209,223.1423,148.2197,347.7101,263.254,339.6823,289.6029,375.0118
RHOA,1125.2291,1471.2933,694.524375,840.2537,971.1658,762.6535,954.6864,674.3975,1208.8948,1153.1596,947.3802,811.7865,1243.2946,1039.2856,771.6475,1034.8439,645.8362,1080.6255,975.3521,765.2713,1216.3582,1338.3139,772.9872,1144.7825,736.5611
RNPS1,217.7113,307.8321,287.9815875,236.0603,249.581,163.585,215.0545,126.2519,164.4426,259.2235,254.7662,210.8578,273.3967,283.3971,116.8123,248.4718,150.949,192.9774,119.8574,329.6124,265.4269,220.6978,201.7291,284.8623,245.5494
RPS24,1115.3115,1636.5401,1189.2665375,2197.7948,1977.4238,1573.479,1621.4154,1465.3998,1945.4729,2827.4518,2757.1678,2829.5629,2126.85,2275.448,1761.3482,2542.0074,1802.4521,1521.0349,2300.1542,1209.5278,2613.411,1660.8319,1895.5795,1997.1627,1767.1656
RPL30,2000.7808,2612.1517,1302.383175,2277.701,2161.4283,1781.9501,1609.5545,1706.74,2184.1499,3461.313,3422.8087,3461.6936,2308.5319,2354.6416,3827.9059,2721.0981,1818.9444,2444.9763,3391.2553,1200.2688,2760.5949,2087.1133,2536.6004,2137.2951,1972.1823
NPM1,229.4312,196.1451,285.483425,524.8345,418.1959,270.2947,460.061,375.9917,429.5656,343.2951,768.1895,723.3263,583.5137,553.8775,298.2348,586.4576,351.3947,442.5566,494.2951,447.2278,555.5636,502.2019,414.7874,491.1173,636.5321
HSP90AB1,873.5066,433.2018,673.494575,799.0331,457.1431,754.8498,556.4162,462.2246,645.3095,1128.5637,1288.4907,985.0069,486.7289,1007.9598,403.0712,798.3073,332.0938,592.0537,546.0269,456.9947,467.9541,575.2023,601.2611,761.5945,1094.7012
IK,45.6659,70.9706,89.623375,113.4357,140.4294,103.0327,108.6654,52.656,125.3369,145.0865,129.227,35.7776,85.8248,144.7107,52.7156,106.7257,80.1223,83.382,78.595,193.0575,126.3369,88.9577,98.6817,142.6457,93.966
SNX3,697.707,857.6054,626.6239,355.2139,413.6747,548.843,481.2819,368.3181,504.496,756.5952,609.6223,340.9798,735.8215,522.1664,481.9012,431.2059,414.1052,658.5117,421.7336,422.2449,439.5657,502.5771,453.8978,553.143,361.6268
CANX,355.4466,367.9112,306.0245,425.2254,389.1661,379.6839,630.5471,463.6012,396.8229,241.6144,407.3292,546.229,501.7019,458.9885,619.214,364.2327,426.0196,437.2682,484.3913,370.8751,250.3441,624.5136,525.7555,370.6214,419.8737
SART3,32.1062,47.8798,52.507075,48.5659,44.4907,28.6137,28.7738,24.4997,40.2545,20.7204,61.4438,34.7543,35.9006,50.3426,23.4111,53.6455,21.7298,39.4643,38.0273,57.8348,53.5613,35.5954,37.2303,36.4124,58.7699
CNPPD1,73.1494,83.004,38.62435,34.7393,47.2675,42.5685,79.1628,34.2006,47.7884,39.2683,32.0629,35.9252,33.4626,57.6042,76.0726,42.5584,47.5576,31.7305,38.1364,37.4958,29.4189,57.7732,24.0551,48.6418,26.2954
SMNDC1,59.6178,76.2993,62.66875,76.3919,73.7239,56.2103,61.4014,60.3351,96.7699,108.209,103.5035,67.4816,120.2583,122.3072,41.4155,111.7511,71.5463,87.6763,67.3416,100.0655,87.3307,101.666,71.1399,84.717,72.4067
HNRNPM,49.2239,160.7672,88.341675,159.3227,110.0671,51.2523,95.846,93.9872,150.4905,57.9036,219.2897,105.5618,115.9541,142.301,52.1208,133.737,92.8663,138.5226,67.3416,106.9954,272.2365,103.7017,98.0078,134.646,193.5688
HNRNPD,84.4211,128.1804,88.8480875,154.1185,135.3232,72.5904,90.8541,109.8292,127.3695,75.5891,195.3949,136.3801,147.777,121.6342,78.5417,139.8197,125.2411,143.9303,147.0382,88.9376,257.1239,120.3273,104.7956,140.5411,142.7214
RPL14,289.105,417.86,249.601675,688.0075,466.3891,278.2549,354.7102,329.6596,512.5712,611.8526,799.6632,872.0456,561.4211,556.1569,671.8755,669.0408,379.6014,389.3146,543.7345,140.1301,627.1844,355.1934,467.4489,526.2424,399.3217
GUK1,107.4969,204.1283,182.124925,69.3346,104.8796,57.8532,75.1493,63.8842,118.6426,59.2792,95.3659,95.4661,91.7471,82.222,138.4391,109.9608,60.8114,95.102,71.9561,55.7549,99.4567,101.851,92.0893,97.2222,84.1162
KXD1,63.6801,70.063,57.3309875,63.8328,64.5694,46.9984,42.6814,60.7545,71.3512,48.5041,56.4149,112.9121,51.1324,52.8174,66.5027,53.677,75.4145,63.6101,57.1898,64.18,52.0281,54.2876,51.0695,64.2733,71.7965
OAZ1,1132.4292,2109.7946,813.6781125,681.5071,761.9255,887.0439,798.3076,563.923,1029.4065,1684.3794,968.8672,1080.2073,1049.3797,814.3068,1279.1766,858.2031,676.7217,1158.4009,757.3998,525.9191,936.5653,918.0781,770.9069,758.4069,840.2608
ATP6V0B,438.056,436.3053,467.4998125,202.6172,284.3985,202.4277,526.1348,362.9137,423.2027,299.6053,242.6054,294.7818,371.8428,276.5914,413.6143,299.9502,242.7658,406.2932,344.8653,196.623,273.1027,374.8315,235.3359,205.6624,295.961
KARS,150.3611,228.1951,276.7774125,350.533,325.0748,369.0344,344.0573,296.2871,326.1013,744.3955,521.5407,557.0331,408.9299,401.8619,316.7799,367.1014,303.8471,349.5422,282.0191,589.409,316.6486,297.4716,266.3937,371.3264,462.2756
RPS6,1171.3852,1826.3074,750.9457875,2008.2553,1579.1438,994.0225,1289.264,1226.9472,1511.8973,1620.3842,2328.57,2454.7537,1657.4511,1849.0986,1807.5622,2268.1104,1499.0099,1763.0693,1936.4291,997.6649,1991.7918,1487.3273,1618.0372,1793.8297,1593.9938
RPS7,582.898,881.4526,595.4681875,1483.9393,956.2441,721.2879,877.9796,889.2161,1109.3742,985.1147,1884.0626,1688.811,1731.1562,1321.3476,1058.7986,1802.7479,838.9753,1137.5853,1143.9741,592.7158,1484.712,940.8111,992.3254,1207.8298,1070.3526
USP22,73.1914,55.9801,86.4412625,66.9006,57.6731,52.0738,62.9439,28.8285,70.8873,65.9931,68.8195,58.2863,49.8218,62.6678,55.4189,54.2737,52.6552,47.9685,63.9329,47.0135,69.8586,64.1736,36.405,51.9673,64.6924
C11orf58,131.0022,150.9297,196.514025,262.3308,199.9944,155.0478,198.1018,186.3934,267.1778,191.9859,307.4323,297.35,359.3509,291.082,176.0429,227.3026,120.7232,263.2079,241.7094,196.1054,187.2951,318.7549,189.7748,281.215,277.3654
COX4I1,475.149,441.9462,653.8676875,400.0879,739.4564,1092.2097,477.8923,502.3404,438.2263,759.2317,437.0351,421.5779,487.6998,479.0908,667.2257,529.7131,746.8887,426.6516,578.2885,252.8668,435.3395,431.5045,393.5744,463.9817,405.2878
TMED2,193.8884,156.8146,91.2823375,213.1984,238.7482,146.628,197.5027,238.4149,219.4335,184.8243,243.8855,360.197,282.8249,226.1185,428.2485,207.2117,159.7249,170.5414,322.4578,117.9892,137.2881,258.6272,280.8092,199.1441,225.7044
NBEAL1,1343.9769,2445.9095,701.26815,2687.7748,1567.4261,910.9244,1211.3142,1357.2484,1857.4521,1905.5791,2828.5474,2699.2638,1916.754,2238.6516,2377.5524,2446.1489,1620.3778,1940.9269,1738.5572,656.867,2054.6615,1674.4655,2026.4324,1961.4859,1938.9426
FNTA,62.1672,83.0918,231.84495,206.8804,170.9137,166.5774,138.827,155.6773,220.6487,249.3654,213.5293,188.1869,375.8233,272.9443,73.2881,287.5753,165.3722,183.0467,168.4732,159.6735,204.9763,192.7828,144.8582,223.1023,179.6221
RPS25,595.7293,855.8048,460.1493,955.6481,616.095,552.9502,615.9905,612.5783,849.5205,1245.1897,1216.8673,1055.3814,830.6754,901.8039,1021.4922,1049.8571,563.7348,735.5267,854.8993,396.294,824.0867,777.8556,837.6811,897.1907,647.9994
RPL37,1090.1532,1889.329,660.615425,1570.9892,1109.5202,737.0127,916.947,1192.0529,1277.2966,1908.2647,2066.6567,1691.9991,1420.1869,1511.1257,2155.8227,1936.1394,1004.8273,1377.5321,1499.9737,494.5768,1688.0158,1266.5061,1411.8399,1427.438,1215.8053
HINT1,438.0934,490.8996,718.0086375,509.5676,572.3977,405.6572,862.0153,1083.0626,486.324,946.6979,478.6072,423.6246,485.3697,654.3891,632.082,553.1647,451.7675,434.624,369.6744,363.4564,432.2134,538.4964,571.7562,443.8344,679.2052
EEF2,1387.9899,1264.1201,894.5285875,1573.1208,1107.3842,1067.4392,1129.6653,969.8779,584.1986,1786.5623,1727.5273,2024.3888,893.7818,1404.7093,2170.3938,1609.3664,1240.2466,1018.2679,1648.4111,960.1978,1571.9532,1363.206,1421.3623,1351.487,1174.1104
RPS10,2732.8073,3165.1018,1450.398375,2779.4912,1887.3134,1518.8528,1906.9767,1809.5516,2183.4043,2666.5793,2969.8589,3495.3016,2672.2032,2477.4698,3992.0675,3076.013,2032.5639,2196.1724,2306.5996,1359.4967,3032.5776,1869.9164,2575.0124,2277.2283,1985.0976
ATP6V0E1,362.5626,345.5035,129.2735,155.5588,229.7565,205.2538,346.8329,174.4984,370.1228,170.665,248.6197,199.542,375.6831,298.7778,360.6284,241.8447,199.2863,329.8498,297.3015,117.2128,240.9659,311.5371,245.6592,252.8329,207.4478
HNRNPK,343.0542,484.1753,313.107875,423.0938,411.9506,334.3283,338.3665,322.2924,433.0122,404.6375,504.9301,332.3601,429.9331,466.402,234.5707,502.1889,340.5798,435.966,468.7716,436.694,472.1952,487.1083,399.0339,347.4193,483.6025
ANAPC5,132.7111,181.3645,210.582775,165.2998,151.552,147.5228,125.5433,115.5078,176.7377,169.748,146.7519,216.3042,156.9733,120.9721,242.7619,207.5467,134.4867,141.7136,192.9597,142.6653,169.375,141.4409,139.3938,138.1248,123.5302
HNRNPU,115.4254,148.2068,122.4309875,192.6121,139.6563,133.9152,187.6985,152.182,179.4883,128.4491,218.7512,146.3184,154.0445,178.6632,91.2114,165.2501,163.663,205.095,160.6633,204.9043,197.0417,188.2794,170.3881,183.6147,216.0386
