gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,pancreas,placenta,prostate,salivary gland,skin,small intestine,spleen,stomach,testis,thymus gland,thyroid gland,trachea,urinary bladder,uterus
TSC22D3,404.2409,345.6597,152.3282375,112.8308,511.8562,137.9148,157.7566,99.1173,404.1801,511.2417,394.9653,292.5383,211.2287,572.1997,255.9002,363.1439,107.2296,524.5668,522.2102,62.5122,967.3581,224.4301,305.2746,544.1012,135.0798
PLAGL1,162.548,55.9606,78.9068375,175.0216,85.9095,42.6174,47.8431,30.8881,85.4359,41.7028,53.3569,100.5828,319.3511,76.9359,28.7277,100.8,43.6994,46.3233,61.3875,37.7642,28.9709,30.5368,54.5953,100.3281,50.2082
GUCA2A,10.534,30.5665,16.36055,20.4518,912.0891,26.6383,8.686,9.8085,18.7575,7.9912,6.0956,4.0147,35.1455,7.0988,43.0375,5.3394,221.6557,21.1139,14.5877,9.489,24.909,5.6755,10.8995,18.1449,23.8838
CCDC106,12.9994,1.7567,14.8894875,1.3827,1.0375,4.518,5.0319,17.6165,1.8559,2.7511,1.7677,0.9446,1.1003,1.2374,3.6225,0.8166,1.9791,1.3718,2.3221,1.3802,1.2544,1.2338,1.3478,3.0037,2.1501
NR1I3,23.1411,5.3872,17.4033625,14.9788,23.9847,21.5923,32.1084,127.2521,19.2214,34.3885,19.5669,29.8737,18.9643,16.8026,17.5178,23.1166,32.3248,19.4439,24.948,18.2303,22.1612,24.923,22.2678,22.4359,18.5956
CXCR2,1.2327,62.4213,1.1527,0.8066,1.4037,9.6226,1.3778,4.2589,8.4177,9.2358,1.9506,4.605,9.1909,0.8466,1.0273,16.5208,1.0795,150.7794,2.7985,0.9201,5.7942,4.5034,1.5236,7.356,1.3947
PHOX2B,40.9592,26.1162,16.7489125,25.1759,5.5537,21.2989,5.5111,29.7481,4.3745,19.1265,13.7761,9.3872,6.2136,17.7144,30.8183,20.9808,28.9664,10.378,25.1861,22.6585,5.6747,11.8446,14.2397,19.187,9.937
GABRB1,11.7106,17.04,83.5664125,19.6453,15.7457,19.304,15.3953,19.0362,14.3166,16.834,14.2028,6.7895,16.7637,7.0336,11.5163,12.7518,37.3025,19.8614,11.0748,19.6105,18.5772,13.0784,9.4931,15.6929,7.845
PTK7,8.0686,27.9315,12.3944125,56.5738,22.8251,10.2681,18.031,11.6153,31.2182,8.5152,66.1374,11.5126,27.8963,26.9623,35.2518,44.7884,13.3737,40.5578,23.8167,62.9148,31.3602,23.319,31.8196,25.93,92.3389
MMP16,16.7675,10.9062,10.0104875,13.02,8.0254,14.7127,12.7296,12.0347,9.8427,15.3438,10.5302,14.1989,8.4627,9.4108,19.4237,10.3334,10.0303,9.3342,6.2965,7.6343,13.0369,6.7397,13.5512,6.6971,10.4019
